"","x"
"Eroticism=~M_Ero",0.718195447017682
"Eroticism=~X_Ero",0.770731361076941
"Eroticism=~F_Ero",0.647229843581339
"Eroticism~Inactive",0.231850845448653
"Eroticism~Education",-0.240871005622288
"Eroticism~Work",0.0118272302722144
"Eroticism~Gym",0.163942528753309
"Eroticism~Social",-0.143080157439365
"Inactive~~Education",-0.660501346388862
"Inactive~~Gym",-0.851396682861766
"Inactive~~Work",-0.874343413559685
"Inactive~~Social",-0.649401015767612
"Education~~Gym",-0.227725272256311
"Education~~Work",-0.419033167562047
"Education~~Social",0.25227627902126
"Work~~Gym",-0.537563707670579
"Gym~~Social",-0.311708989906182
"Work~~Social",0.203734999771572
