"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","Eroticism","=~","M_Ero",0.718195447017682,0.0346959686613498,20.6996799549721,0,0.650192598032706,0.786198296002658
"2","Eroticism","=~","X_Ero",0.770731361076941,0.0354085486720908,21.7668159238742,0,0.70133188093481,0.840130841219073
"3","Eroticism","=~","F_Ero",0.647229843581339,0.0351939213609058,18.3903872758066,0,0.578251025239229,0.716208661923449
"4","Eroticism","~","Inactive",0.231850845448653,0.060219993610615,3.85006426516434,0.00011808683659309,0.113821826822616,0.349879864074691
"5","Eroticism","~","Education",-0.240871005622288,0.08475755385739,-2.84188245955717,0.00448480229759096,-0.406992758600487,-0.0747492526440902
"6","Eroticism","~","Work",0.0118272302722144,0.0572485982216186,0.206594233564101,0.836326764064643,-0.100377960407562,0.124032420951991
"7","Eroticism","~","Gym",0.163942528753309,0.0491513329764047,3.33546455051403,0.000851570103708177,0.0676076863274199,0.260277371179198
"8","Eroticism","~","Social",-0.143080157439365,0.104489661397123,-1.36932358212527,0.170898149685615,-0.347876130534512,0.0617158156557808
"9","Inactive","~~","Education",-0.660501346388862,0.242736225393295,-2.72106623277461,0.00650717223483754,-1.13625560590292,-0.184747086874806
"10","Inactive","~~","Gym",-0.851396682861766,0.223802501060709,-3.80423220842745,0.000142244699647298,-1.29004152459074,-0.41275184113279
"11","Inactive","~~","Work",-0.874343413559685,0.0285367057877513,-30.6392552827515,0,-0.930274329141093,-0.818412497978276
"12","Inactive","~~","Social",-0.649401015767612,0.0834792935744776,-7.77918676549696,7.32747196252603e-15,-0.813017424628434,-0.485784606906789
"13","Education","~~","Gym",-0.227725272256311,0.0810485263082314,-2.80973982661031,0.00495815631508734,-0.386577464820492,-0.0688730796921306
"14","Education","~~","Work",-0.419033167562047,0.0711578310289494,-5.88878499390419,3.89045196058646e-09,-0.558499953596775,-0.27956638152732
"15","Education","~~","Social",0.25227627902126,0.0862328502575357,2.92552406963046,0.00343876573162749,0.0832629982322543,0.421289559810265
"16","Work","~~","Gym",-0.537563707670579,0.0435137734221826,-12.3538747709831,0,-0.622849136409493,-0.452278278931664
"17","Gym","~~","Social",-0.311708989906182,0.0745776556613473,-4.17965658938964,2.91949632473809e-05,-0.457878509053852,-0.165539470758512
"18","Work","~~","Social",0.203734999771572,0.0647027790339891,3.14878283148469,0.00163951984741528,0.0769198831653003,0.330550116377844
"19","M_Ero","|","t1",0.156153017746606,0,NA,NA,0.156153017746606,0.156153017746606
"20","X_Ero","|","t1",0.424045203886587,0,NA,NA,0.424045203886587,0.424045203886587
"21","F_Ero","|","t1",-0.0594988963264345,0,NA,NA,-0.0594988963264345,-0.0594988963264345
"22","Inactive","|","t1",0.686019629928306,0,NA,NA,0.686019629928306,0.686019629928306
"23","Education","|","t1",1.46714811975414,0,NA,NA,1.46714811975414,1.46714811975414
"24","Work","|","t1",0.304234942999139,0,NA,NA,0.304234942999139,0.304234942999139
"25","Gym","|","t1",0.674489750196082,0,NA,NA,0.674489750196082,0.674489750196082
"26","Social","|","t1",1.32761124018722,0,NA,NA,1.32761124018722,1.32761124018722
"27","M_Ero","~~","M_Ero",0.352039316354333,0,NA,NA,0.352039316354333,0.352039316354333
"28","X_Ero","~~","X_Ero",0.25377564144459,0,NA,NA,0.25377564144459,0.25377564144459
"29","F_Ero","~~","F_Ero",0.473764153570312,0,NA,NA,0.473764153570312,0.473764153570312
"30","Inactive","~~","Inactive",1,0,NA,NA,1,1
"31","Education","~~","Education",1,0,NA,NA,1,1
"32","Work","~~","Work",1,0,NA,NA,1,1
"33","Gym","~~","Gym",1,0,NA,NA,1,1
"34","Social","~~","Social",1,0,NA,NA,1,1
"35","Eroticism","~~","Eroticism",1,0,NA,NA,1,1
"36","M_Ero","~*~","M_Ero",1,0,NA,NA,1,1
"37","X_Ero","~*~","X_Ero",1,0,NA,NA,1,1
"38","F_Ero","~*~","F_Ero",1,0,NA,NA,1,1
"39","Inactive","~*~","Inactive",1,0,NA,NA,1,1
"40","Education","~*~","Education",1,0,NA,NA,1,1
"41","Work","~*~","Work",1,0,NA,NA,1,1
"42","Gym","~*~","Gym",1,0,NA,NA,1,1
"43","Social","~*~","Social",1,0,NA,NA,1,1
"44","M_Ero","~1","",0,0,NA,NA,0,0
"45","X_Ero","~1","",0,0,NA,NA,0,0
"46","F_Ero","~1","",0,0,NA,NA,0,0
"47","Inactive","~1","",0,0,NA,NA,0,0
"48","Education","~1","",0,0,NA,NA,0,0
"49","Work","~1","",0,0,NA,NA,0,0
"50","Gym","~1","",0,0,NA,NA,0,0
"51","Social","~1","",0,0,NA,NA,0,0
"52","Eroticism","~1","",0,0,NA,NA,0,0
