"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","M_Ero","~","Inactive",0.0981532183578736,0.0498788005000702,1.96783437800866,0.0490870972481823,0.000392565785677562,0.19591387093007
"2","M_Ero","~","Education",-0.175889199031137,0.0632112722402421,-2.7825606540974,0.00539317833833208,-0.299781016038968,-0.0519973820233056
"3","M_Ero","~","Work",-0.0769345625035715,0.0427862159444775,-1.79811560347864,0.0721586900542195,-0.160794004789501,0.00692487978235776
"4","M_Ero","~","Gym",0.00809118382880692,0.0453131704764749,0.17856141478795,0.8582820940188,-0.0807209983304075,0.0969033659880214
"5","M_Ero","~","Social",-0.133827716765383,0.052688291242102,-2.53998969430318,0.0110855735311299,-0.23709487000686,-0.0305605635239064
"6","X_Ero","~","Inactive",0.0665975751395337,0.0476356022760511,1.39806304439265,0.162094136169629,-0.0267664897034007,0.159961639982468
"7","X_Ero","~","Education",-0.20328551655898,0.0603684730508931,-3.3674119335038,0.000758772564264154,-0.321605549540408,-0.084965483577553
"8","X_Ero","~","Work",-0.0456781246239361,0.0408619923734031,-1.11786337304658,0.263625350246495,-0.125766158012357,0.0344099087644844
"9","X_Ero","~","Gym",0.0120190840354622,0.0432753022334854,0.277735415240198,0.781215472279302,-0.072798949762255,0.0968371178331793
"10","X_Ero","~","Social",-0.129617714081121,0.0503187418512597,-2.57593312774524,0.0099969978590615,-0.228240635856958,-0.0309947923052836
"11","F_Ero","~","Inactive",0.132707675592544,0.0494290257239455,2.68481269150841,0.00725704639615343,0.0358285653827074,0.229586785802382
"12","F_Ero","~","Education",-0.28197941706948,0.062641273853445,-4.50149557509313,6.74769701869415e-06,-0.404754057767942,-0.159204776371017
"13","F_Ero","~","Work",-0.0511876232437883,0.0424003975104992,-1.20724394697274,0.227338210405524,-0.134290875294548,0.0319156288069719
"14","F_Ero","~","Gym",0.0402156374632074,0.0449045656002103,0.895580147044537,0.37047704277993,-0.047795693854621,0.128226968781036
"15","F_Ero","~","Social",-0.198104580672723,0.0522131822948093,-3.7941487564227,0.000148150838785499,-0.300440537488773,-0.0957686238566721
"16","Inactive","~~","Education",-0.0175322337710188,0.00338796014088413,-5.17486423746518,2.2807676147707e-07,-0.0241725136282089,-0.0108919539138287
"17","Inactive","~~","Gym",-0.0615875914944181,0.00593491390243354,-10.3771667975107,0,-0.0732198089945339,-0.0499553739943023
"18","Inactive","~~","Work",-0.0919052014328166,0.00690191974845609,-13.3158896049719,0,-0.105432715563976,-0.078377687301657
"19","Inactive","~~","Social",-0.0217895855883925,0.00382169344956566,-5.70155243374347,1.18721203978822e-08,-0.0292799671094939,-0.0142992040672912
"20","Education","~~","Gym",-0.00866788229256522,0.00337301545257422,-2.5697724823496,0.0101765325725143,-0.0152788710989078,-0.00205689348622267
"21","Education","~~","Work",-0.018865882801661,0.00381331036385416,-4.94737668889691,7.52203248799432e-07,-0.0263398337766885,-0.0113919318266336
"22","Education","~~","Social",0.00712777658385415,0.0022565907788112,3.15864828075259,0.00158502653534498,0.002704939929539,0.0115506132381693
"23","Work","~~","Gym",-0.0622718982007054,0.00662293193800604,-9.40246688077147,0,-0.0752526062712573,-0.0492911901301535
"24","Gym","~~","Social",-0.0139142350425841,0.0038064550914891,-3.65543128925784,0.000256749970707792,-0.0213747499306718,-0.00645372015449633
"25","Work","~~","Social",0.0132956952416752,0.00426075580447898,3.12050158511748,0.00180543326284699,0.0049447673179764,0.021646623165374
"26","M_Ero","~~","M_Ero",0.236711968109046,0.0101118341313584,23.4093998214393,0,0.21689313739394,0.256530798824151
"27","X_Ero","~~","X_Ero",0.215899449830452,0.00922276741297409,23.4093998214393,0,0.197823157863233,0.23397574179767
"28","F_Ero","~~","F_Ero",0.232462184802888,0.0099302923857958,23.4093998214393,0,0.212999169370776,0.251925200235
"29","Inactive","~~","Inactive",0.185661861955964,0.00793108167540149,23.4093998214393,0,0.170117227513731,0.201206496398196
"30","Education","~~","Education",0.0661030157829937,0.00282378088661863,23.4093998214393,0,0.0605685069449886,0.0716375246209988
"31","Work","~~","Work",0.235713642744021,0.0100691877853334,23.4093998214393,0,0.215978397331197,0.255448888156845
"32","Gym","~~","Gym",0.187499999877655,0.00800960303586832,23.4093998214392,0,0.17180146639689,0.20319853335842
"33","Social","~~","Social",0.0836610563831294,0.00357382320868001,23.4093998214393,0,0.0766564916070032,0.0906656211592556
"34","M_Ero","~~","X_Ero",0.108682635927559,0.00757673030966466,14.3442661261054,0,0.0938325174000431,0.123532754455075
"35","M_Ero","~~","F_Ero",0.0785590533222308,0.00747246198243445,10.5131419212168,0,0.0639132969608145,0.0932048096836471
"36","X_Ero","~~","F_Ero",0.082344928625879,0.00720965650824685,11.421477366042,0,0.0682142615288103,0.0964755957229476
