"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","M","~","M_Z",0.0975246628885115,0.03348580540103,2.91241801475415,0.00358642333518921,0.031893690309176,0.163155635467847
"2","M","~","X_Z",0.0623007470596152,0.0433950045488353,1.4356663331952,0.151097309560525,-0.0227518989650537,0.147353393084284
"3","M","~","F_Z",0.0144512419682498,0.0335512656166631,0.430721217296573,0.666671089499308,-0.0513080302761469,0.0802105142126464
"4","X","~","M_Z",0.01855536274947,0.0247432686359772,0.749915584010195,0.453305547991957,-0.0299405526368449,0.0670512781357849
"5","X","~","X_Z",0.101135601157613,0.032065355518618,3.15404583925135,0.00161023791279913,0.0382886591896485,0.163982543125576
"6","X","~","F_Z",0.00261715628390361,0.0247916383759605,0.105566088219541,0.915926632041295,-0.0459735620507201,0.0512078746185273
"7","F","~","M_Z",0.0404338057845671,0.03342655178351,1.20963137467604,0.226420373458537,-0.0250810318384756,0.10594864340761
"8","F","~","X_Z",0.032483891041672,0.0433182164599415,0.749889854576804,0.45332104531354,-0.0524182530943234,0.117386035177668
"9","F","~","F_Z",0.0846816434994342,0.0334918961663437,2.52842189283184,0.0114576577260794,0.0190387332394455,0.150324553759423
"10","M_B","~","M",0.0995124186331065,0.0334643989980911,2.97368013807099,0.00294251632808606,0.0339234018325696,0.165101435433643
"11","M_B","~","X",0.0586797656866476,0.043228815889978,1.3574224618133,0.174647015169118,-0.026047156552022,0.143406687925317
"12","M_B","~","F",0.0162081798752466,0.033532013695966,0.483364346150093,0.628837059134563,-0.0495133592979507,0.0819297190484439
"13","X_B","~","M",0.0189637598751212,0.0247342777256699,0.766699561048433,0.443260164694993,-0.0295145336508032,0.0674420534010455
"14","X_B","~","X",0.0993500615879176,0.0319513742958766,3.10941434530843,0.00187458628902082,0.0367265187114407,0.161973604464395
"15","X_B","~","F",0.00299970171267313,0.0247842532448977,0.121032563823188,0.903665242582036,-0.0455765420310463,0.0515759454563926
"16","F_B","~","M",0.0423071313651304,0.0333989482726952,1.2667204673543,0.205255258908438,-0.0231536043708683,0.107767867101129
"17","F_B","~","X",0.0293500499307386,0.0431442676105312,0.680276930314016,0.496329129071803,-0.0552111607252605,0.113911260586738
"18","F_B","~","F",0.0863316671793681,0.0334664307276147,2.57964967588049,0.0098900588956341,0.0207386682621387,0.151924666096598
"19","M_C","~","M_B",0.0993558603180914,0.0334660386248113,2.96885632123876,0.00298910323614421,0.033763629908235,0.164948090727948
"20","M_C","~","X_B",0.0598397039582309,0.0432438211868933,1.38377465995923,0.166427464442856,-0.02491662812197,0.144596036038432
"21","M_C","~","F_B",0.0158594277646112,0.0335383693343659,0.472874146220354,0.636302971068912,-0.0498745682309486,0.081593423760171
"22","X_C","~","M_B",0.0193970219619347,0.0247359086940136,0.78416451976268,0.432943580981454,-0.0290844682032032,0.0678785121270725
"23","X_C","~","X_B",0.0989851734842209,0.0319630065706731,3.0968667877146,0.00195577740888364,0.0363388317680846,0.161631515200357
"24","X_C","~","F_B",0.00344061746797379,0.0247893708275925,0.138794061854289,0.889612886521939,-0.0451456565535154,0.052026891489463
"25","F_C","~","M_B",0.0420692115322103,0.0333975291184085,1.25965041854016,0.207795498846963,-0.0233887427124981,0.107527165776919
"26","F_C","~","X_B",0.0305585161744352,0.0431552952374166,0.708105830497025,0.478879539147837,-0.0540243082330942,0.115141340581965
"27","F_C","~","F_B",0.0859038001861209,0.03346971175722,2.5666130861611,0.0102697132236962,0.0203043705690329,0.151503229803209
"28","M_Z","~~","X_Z",0.0536705328579123,0.00578932522499075,9.27060249201979,0,0.0423236639221412,0.0650174017936835
"29","M_Z","~~","F_Z",0.10166502889707,0.0081323987786974,12.5012350800331,0,0.0857258201829058,0.117604237611235
"30","X_Z","~~","F_Z",0.0530303476593605,0.00576900954298945,9.19227941368263,0,0.0417232967286334,0.0643373985900877
"31","M","~~","X",0.0511703014825855,0.00570424053990101,8.97057217777733,0,0.0399901954652262,0.0623504074999448
"32","M","~~","F",0.0985923369919531,0.00799326534545925,12.3344256359462,0,0.0829258247959809,0.114258849187925
"33","X","~~","F",0.0510398184720731,0.00569382004931391,8.96407298264075,0,0.0398801362409657,0.0621995007031804
"34","M_B","~~","X_B",0.0513464229662259,0.00570556364169057,8.99936030702338,0,0.0401637237170112,0.0625291222154406
"35","M_B","~~","F_B",0.0984717901985667,0.00798856739990352,12.3265893957102,0,0.082814485806685,0.114129094590448
"36","X_B","~~","F_B",0.0512064111995535,0.00569407958581186,8.99292158247074,0,0.0400462202862575,0.0623666021128495
"37","M_C","~~","X_C",0.0514648808839557,0.00570621204382839,9.01909716790459,0,0.0402809107899034,0.062648850978008
"38","M_C","~~","F_C",0.0984296650364815,0.0079869239263726,12.3238515783867,0,0.08277558179353,0.114083748279433
"39","X_C","~~","F_C",0.0513237473588358,0.00569423633062937,9.0132801623924,0,0.0401632492313427,0.0624842454863288
"40","M","~~","M",0.246007098746485,0.0105089024333371,23.4093998214393,0,0.225410028460099,0.266604169032871
"41","X","~~","X",0.134319875827812,0.0057378607248528,23.4093998214392,0,0.123073875458794,0.145565876196831
"42","F","~~","F",0.245137242792702,0.0104717440285759,23.4093998214393,0,0.224613001641371,0.265661483944033
"43","M_B","~~","M_B",0.245933581961766,0.0105057619519374,23.4093998214392,0,0.225342666905817,0.266524497017714
"44","X_B","~~","X_B",0.134353888864809,0.0057393136897838,23.4093998214393,0,0.123105040736855,0.145602736992763
"45","F_B","~~","F_B",0.244972513437087,0.0104647071392549,23.4093998214392,0,0.224462064335388,0.265482962538786
"46","M_C","~~","M_C",0.245914272037678,0.0105049370728616,23.4093998214393,0,0.225324973715009,0.266503570360346
"47","X_C","~~","X_C",0.134347892118385,0.00573905752147237,23.4093998214392,0,0.123099546071095,0.145596238165674
"48","F_C","~~","F_C",0.244908463070355,0.01046197104319,23.4093998214393,0,0.224403376618401,0.265413549522308
"49","M_Z","~~","M_Z",0.249996384048103,0.0106793162556499,23.4093998214393,0,0.229065308807516,0.27092745928869
"50","X_Z","~~","X_Z",0.135415254513348,0.00578465298325716,23.4093998214392,0,0.124077543003102,0.146752966023594
"51","F_Z","~~","F_Z",0.248600312287522,0.0106196790256811,23.4093998214393,0,0.227786123869812,0.269414500705232
