"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","Attraction","=~","M_Atr",0.934900381086507,0.0544364157737011,17.1741722484633,0,0.828206966722605,1.04159379545041
"2","Attraction","=~","X_Atr",0.458553656553946,0.0458142833781519,10.0089671330016,0,0.368759311155256,0.548348001952635
"3","Attraction","=~","F_Atr",0.785505897209455,0.048798140704482,16.0970456224228,0,0.689863298916152,0.881148495502758
"4","Romanticism","=~","M_Rom",0.857313881998887,0.029502077997812,29.0594405608469,0,0.799490871654084,0.91513689234369
"5","Romanticism","=~","X_Rom",0.858992224979442,0.0257659538010524,33.3382661325876,0,0.808491883502056,0.909492566456827
"6","Romanticism","=~","F_Rom",0.903698340310571,0.0253734537179909,35.6158980308545,0,0.853967284859915,0.953429395761227
"7","Eroticism","=~","M_Ero",0.811960229355664,0.0331747515637294,24.4752467187545,0,0.746938911094691,0.876981547616638
"8","Eroticism","=~","X_Ero",0.876696751804845,0.0324698724770192,27.0003139810707,0,0.813056971167279,0.940336532442411
"9","Eroticism","=~","F_Ero",0.700021382356893,0.0353587670566575,19.7976751065784,0,0.630719472388103,0.769323292325684
"10","Attraction","~~","Romanticism",0.221307900326373,0.0465008267034015,4.75922507223263,1.94337634829012e-06,0.130167954736368,0.312447845916378
"11","Attraction","~~","Eroticism",0.127722190487113,0.0471825960188267,2.70697675126119,0.00678990121673984,0.0352460015931095,0.220198379381116
"12","Romanticism","~~","Eroticism",0.18125153179374,0.0465013565052312,3.89776869785186,9.70830765545383e-05,0.0901105478112295,0.272392515776251
"13","M_Atr","|","t1",-0.114603854886128,0,NA,NA,-0.114603854886128,-0.114603854886128
"14","X_Atr","|","t1",0.715253275329904,0,NA,NA,0.715253275329904,0.715253275329904
"15","F_Atr","|","t1",-0.121513059290583,0,NA,NA,-0.121513059290583,-0.121513059290583
"16","M_Rom","|","t1",0.121513059290583,0,NA,NA,0.121513059290583,0.121513059290583
"17","X_Rom","|","t1",0.923322019703909,0,NA,NA,0.923322019703909,0.923322019703909
"18","F_Rom","|","t1",0.539682430751915,0,NA,NA,0.539682430751915,0.539682430751915
"19","M_Ero","|","t1",0.156153017746606,0,NA,NA,0.156153017746606,0.156153017746606
"20","X_Ero","|","t1",0.424045203886587,0,NA,NA,0.424045203886587,0.424045203886587
"21","F_Ero","|","t1",-0.0594988963264345,0,NA,NA,-0.0594988963264345,-0.0594988963264345
"22","M_Atr","~~","M_Atr",0.125961277444303,0,NA,NA,0.125961277444303,0.125961277444303
"23","X_Atr","~~","X_Atr",0.789728544061006,0,NA,NA,0.789728544061006,0.789728544061006
"24","F_Atr","~~","F_Atr",0.382980485449169,0,NA,NA,0.382980485449169,0.382980485449169
"25","M_Rom","~~","M_Rom",0.265012907731999,0,NA,NA,0.265012907731999,0.265012907731999
"26","X_Rom","~~","X_Rom",0.262132357424868,0,NA,NA,0.262132357424868,0.262132357424868
"27","F_Rom","~~","F_Rom",0.18332930971992,0,NA,NA,0.18332930971992,0.18332930971992
"28","M_Ero","~~","M_Ero",0.340720585944697,0,NA,NA,0.340720585944697,0.340720585944697
"29","X_Ero","~~","X_Ero",0.231402805374835,0,NA,NA,0.231402805374835,0.231402805374835
"30","F_Ero","~~","F_Ero",0.509970064243144,0,NA,NA,0.509970064243144,0.509970064243144
"31","Attraction","~~","Attraction",1,0,NA,NA,1,1
"32","Romanticism","~~","Romanticism",1,0,NA,NA,1,1
"33","Eroticism","~~","Eroticism",1,0,NA,NA,1,1
"34","M_Atr","~*~","M_Atr",1,0,NA,NA,1,1
"35","X_Atr","~*~","X_Atr",1,0,NA,NA,1,1
"36","F_Atr","~*~","F_Atr",1,0,NA,NA,1,1
"37","M_Rom","~*~","M_Rom",1,0,NA,NA,1,1
"38","X_Rom","~*~","X_Rom",1,0,NA,NA,1,1
"39","F_Rom","~*~","F_Rom",1,0,NA,NA,1,1
"40","M_Ero","~*~","M_Ero",1,0,NA,NA,1,1
"41","X_Ero","~*~","X_Ero",1,0,NA,NA,1,1
"42","F_Ero","~*~","F_Ero",1,0,NA,NA,1,1
"43","M_Atr","~1","",0,0,NA,NA,0,0
"44","X_Atr","~1","",0,0,NA,NA,0,0
"45","F_Atr","~1","",0,0,NA,NA,0,0
"46","M_Rom","~1","",0,0,NA,NA,0,0
"47","X_Rom","~1","",0,0,NA,NA,0,0
"48","F_Rom","~1","",0,0,NA,NA,0,0
"49","M_Ero","~1","",0,0,NA,NA,0,0
"50","X_Ero","~1","",0,0,NA,NA,0,0
"51","F_Ero","~1","",0,0,NA,NA,0,0
"52","Attraction","~1","",0,0,NA,NA,0,0
"53","Romanticism","~1","",0,0,NA,NA,0,0
"54","Eroticism","~1","",0,0,NA,NA,0,0
