"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","Attraction","=~","M_Atr",0.934900264494004,0.054436431187761,17.174165243665,0,0.8282068199191,1.04159370906891
"2","Attraction","=~","X_Atr",0.458553365063005,0.0458142830388046,10.0089608446914,0,0.368759020329424,0.548347709796586
"3","Attraction","=~","F_Atr",0.785505950296016,0.0487981624741609,16.097039529141,0,0.689863309334926,0.881148591257105
"4","Romanticism","=~","M_Rom",0.83605580644286,0.0306760307837046,27.2543671747448,0,0.775931890918157,0.896179721967563
"5","Romanticism","=~","X_Rom",0.837692544796992,0.026932754224155,31.1031147362455,0,0.784905316513179,0.890479773080805
"6","Romanticism","=~","F_Rom",0.881290342075937,0.026502241806417,33.2534262011959,0,0.829346902625788,0.933233781526086
"7","Eroticism","=~","M_Ero",0.79517282722933,0.0331901383097649,23.958105260302,0,0.730121351500288,0.860224302958373
"8","Eroticism","=~","X_Ero",0.858570877508845,0.033091339032505,25.9454861184519,0,0.79371304480493,0.923428710212759
"9","Eroticism","=~","F_Ero",0.685548240378713,0.0350032259853554,19.5852873865264,0,0.6169431781047,0.754153302652726
"10","Romanticism","~","Attraction",0.226935048650214,0.0501388466621385,4.5261322060202,6.00730070288158e-06,0.128664714966046,0.325205382334381
"11","Eroticism","~","Attraction",0.0940666458602171,0.0506998165502348,1.85536461985051,0.0635441761363618,-0.00530316860103085,0.193436460321465
"12","Eroticism","~","Romanticism",0.160187378520466,0.0505888264312801,3.16645769077219,0.00154307791576214,0.0610351006950095,0.259339656345923
"13","M_Atr","|","t1",-0.114603854886128,0,NA,NA,-0.114603854886128,-0.114603854886128
"14","X_Atr","|","t1",0.715253275329904,0,NA,NA,0.715253275329904,0.715253275329904
"15","F_Atr","|","t1",-0.121513059290583,0,NA,NA,-0.121513059290583,-0.121513059290583
"16","M_Rom","|","t1",0.121513059290583,0,NA,NA,0.121513059290583,0.121513059290583
"17","X_Rom","|","t1",0.923322019703909,0,NA,NA,0.923322019703909,0.923322019703909
"18","F_Rom","|","t1",0.539682430751915,0,NA,NA,0.539682430751915,0.539682430751915
"19","M_Ero","|","t1",0.156153017746606,0,NA,NA,0.156153017746606,0.156153017746606
"20","X_Ero","|","t1",0.424045203886587,0,NA,NA,0.424045203886587,0.424045203886587
"21","F_Ero","|","t1",-0.0594988963264345,0,NA,NA,-0.0594988963264345,-0.0594988963264345
"22","M_Atr","~~","M_Atr",0.125961495449041,0,NA,NA,0.125961495449041,0.125961495449041
"23","X_Atr","~~","X_Atr",0.789728811389395,0,NA,NA,0.789728811389395,0.789728811389395
"24","F_Atr","~~","F_Atr",0.382980402049553,0,NA,NA,0.382980402049553,0.382980402049553
"25","M_Rom","~~","M_Rom",0.265013077068632,0,NA,NA,0.265013077068632,0.265013077068632
"26","X_Rom","~~","X_Rom",0.262132506633801,0,NA,NA,0.262132506633801,0.262132506633801
"27","F_Rom","~~","F_Rom",0.183329066283313,0,NA,NA,0.183329066283313,0.183329066283313
"28","M_Ero","~~","M_Ero",0.34072053978435,0,NA,NA,0.34072053978435,0.34072053978435
"29","X_Ero","~~","X_Ero",0.231402813600015,0,NA,NA,0.231402813600015,0.231402813600015
"30","F_Ero","~~","F_Ero",0.509970162401891,0,NA,NA,0.509970162401891,0.509970162401891
"31","Attraction","~~","Attraction",1,0,NA,NA,1,1
"32","Romanticism","~~","Romanticism",1,0,NA,NA,1,1
"33","Eroticism","~~","Eroticism",1,0,NA,NA,1,1
"34","M_Atr","~*~","M_Atr",1,0,NA,NA,1,1
"35","X_Atr","~*~","X_Atr",1,0,NA,NA,1,1
"36","F_Atr","~*~","F_Atr",1,0,NA,NA,1,1
"37","M_Rom","~*~","M_Rom",1,0,NA,NA,1,1
"38","X_Rom","~*~","X_Rom",1,0,NA,NA,1,1
"39","F_Rom","~*~","F_Rom",1,0,NA,NA,1,1
"40","M_Ero","~*~","M_Ero",1,0,NA,NA,1,1
"41","X_Ero","~*~","X_Ero",1,0,NA,NA,1,1
"42","F_Ero","~*~","F_Ero",1,0,NA,NA,1,1
"43","M_Atr","~1","",0,0,NA,NA,0,0
"44","X_Atr","~1","",0,0,NA,NA,0,0
"45","F_Atr","~1","",0,0,NA,NA,0,0
"46","M_Rom","~1","",0,0,NA,NA,0,0
"47","X_Rom","~1","",0,0,NA,NA,0,0
"48","F_Rom","~1","",0,0,NA,NA,0,0
"49","M_Ero","~1","",0,0,NA,NA,0,0
"50","X_Ero","~1","",0,0,NA,NA,0,0
"51","F_Ero","~1","",0,0,NA,NA,0,0
"52","Attraction","~1","",0,0,NA,NA,0,0
"53","Romanticism","~1","",0,0,NA,NA,0,0
"54","Eroticism","~1","",0,0,NA,NA,0,0
