"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","Masculine","=~","M_Atr",0.586409213519278,NA,NA,NA,NA,NA
"2","Masculine","=~","M_Rom",0.488272145947231,NA,NA,NA,NA,NA
"3","Masculine","=~","M_Ero",0.252616974936798,NA,NA,NA,NA,NA
"4","Androgynous","=~","X_Atr",0.168771032776592,NA,NA,NA,NA,NA
"5","Androgynous","=~","X_Rom",0.358715234428065,NA,NA,NA,NA,NA
"6","Androgynous","=~","F_Ero",0.189296340598597,NA,NA,NA,NA,NA
"7","Feminine","=~","F_Atr",207.718938287654,NA,NA,NA,NA,NA
"8","Feminine","=~","X_Rom",-0.00357733302845066,NA,NA,NA,NA,NA
"9","Feminine","=~","F_Ero",-0.00131375518455825,NA,NA,NA,NA,NA
"10","Masculine","~~","Androgynous",2.78821805069318,NA,NA,NA,NA,NA
"11","Masculine","~~","Feminine",0.00489958030432774,NA,NA,NA,NA,NA
"12","Androgynous","~~","Feminine",0.0116541621852583,NA,NA,NA,NA,NA
"13","M_Atr","|","t1",-0.114603854886128,0,NA,NA,-0.114603854886128,-0.114603854886128
"14","M_Rom","|","t1",0.121513059290583,0,NA,NA,0.121513059290583,0.121513059290583
"15","M_Ero","|","t1",0.156153017746606,0,NA,NA,0.156153017746606,0.156153017746606
"16","X_Atr","|","t1",0.715253275329904,0,NA,NA,0.715253275329904,0.715253275329904
"17","X_Rom","|","t1",0.923322019703909,0,NA,NA,0.923322019703909,0.923322019703909
"18","F_Ero","|","t1",-0.0594988963264345,0,NA,NA,-0.0594988963264345,-0.0594988963264345
"19","F_Atr","|","t1",-0.121513059290583,0,NA,NA,-0.121513059290583,-0.121513059290583
"20","M_Atr","~~","M_Atr",0.656124234299702,0,NA,NA,0.656124234299702,0.656124234299702
"21","M_Rom","~~","M_Rom",0.761590311492086,0,NA,NA,0.761590311492086,0.761590311492086
"22","M_Ero","~~","M_Ero",0.936184663973781,0,NA,NA,0.936184663973781,0.936184663973781
"23","X_Atr","~~","X_Atr",0.971516338495522,0,NA,NA,0.971516338495522,0.971516338495522
"24","X_Rom","~~","X_Rom",0.871340493541662,0,NA,NA,0.871340493541662,0.871340493541662
"25","F_Ero","~~","F_Ero",0.964170966008314,0,NA,NA,0.964170966008314,0.964170966008314
"26","F_Atr","~~","F_Atr",-43146.15732335,0,NA,NA,-43146.15732335,-43146.15732335
"27","Masculine","~~","Masculine",1,0,NA,NA,1,1
"28","Androgynous","~~","Androgynous",1,0,NA,NA,1,1
"29","Feminine","~~","Feminine",1,0,NA,NA,1,1
"30","M_Atr","~*~","M_Atr",1,0,NA,NA,1,1
"31","M_Rom","~*~","M_Rom",1,0,NA,NA,1,1
"32","M_Ero","~*~","M_Ero",1,0,NA,NA,1,1
"33","X_Atr","~*~","X_Atr",1,0,NA,NA,1,1
"34","X_Rom","~*~","X_Rom",1,0,NA,NA,1,1
"35","F_Ero","~*~","F_Ero",1,0,NA,NA,1,1
"36","F_Atr","~*~","F_Atr",1,0,NA,NA,1,1
"37","M_Atr","~1","",0,0,NA,NA,0,0
"38","M_Rom","~1","",0,0,NA,NA,0,0
"39","M_Ero","~1","",0,0,NA,NA,0,0
"40","X_Atr","~1","",0,0,NA,NA,0,0
"41","X_Rom","~1","",0,0,NA,NA,0,0
"42","F_Ero","~1","",0,0,NA,NA,0,0
"43","F_Atr","~1","",0,0,NA,NA,0,0
"44","Masculine","~1","",0,0,NA,NA,0,0
"45","Androgynous","~1","",0,0,NA,NA,0,0
"46","Feminine","~1","",0,0,NA,NA,0,0
