"","x"
"Attraction=~M_Atr",0.769301374060003
"Attraction=~X_Atr",0.43558697929697
"Attraction=~F_Atr",0.741436007090003
"Attraction~Inactive",-0.257102451162802
"Attraction~Education",-0.0463792559562876
"Attraction~Work",-0.200953134121135
"Attraction~Gym",0.059669011698677
"Attraction~Social",0.397532260530314
"Inactive~~Education",-0.66050168055939
"Inactive~~Gym",-0.851398083820623
"Inactive~~Work",-0.874343409094081
"Inactive~~Social",-0.649400813103361
"Education~~Gym",-0.227727803014837
"Education~~Work",-0.419030407198792
"Education~~Social",0.252276788480082
"Work~~Gym",-0.537563682842283
"Gym~~Social",-0.31171135166718
"Work~~Social",0.203734839399978
