"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","Attraction","=~","M_Atr",0.769301374060003,0.0424871623391416,18.1066781518444,0,0.686028066069979,0.852574682050027
"2","Attraction","=~","X_Atr",0.43558697929697,0.041357410711743,10.5322594379268,0,0.354527943808122,0.516646014785817
"3","Attraction","=~","F_Atr",0.741436007090003,0.0397619096549027,18.6468912968465,0,0.663504096209858,0.819367917970148
"4","Attraction","~","Inactive",-0.257102451162802,0.0670397168969503,-3.83507662417497,0.00012552515554054,-0.388497881814586,-0.125707020511018
"5","Attraction","~","Education",-0.0463792559562876,0.0800421622356338,-0.579435320846943,0.562295477112058,-0.203259011182842,0.110500499270267
"6","Attraction","~","Work",-0.200953134121135,0.0732798292971838,-2.74227077285042,0.00610160206941912,-0.344578960336859,-0.057327307905412
"7","Attraction","~","Gym",0.059669011698677,0.0512006019938805,1.16539668236339,0.24385845961325,-0.0406823241960985,0.160020347593452
"8","Attraction","~","Social",0.397532260530314,0.117002695744821,3.39763334510957,0.000679714529860043,0.168211190776366,0.626853330284261
"9","Inactive","~~","Education",-0.66050168055939,0.242736225393295,-2.72106760945634,0.00650714513473827,-1.13625594007345,-0.184747421045334
"10","Inactive","~~","Gym",-0.851398083820623,0.223802501060708,-3.80423846822728,0.000142241102975671,-1.2900429255496,-0.412753242091648
"11","Inactive","~~","Work",-0.874343409094081,0.0285367057877513,-30.6392551262653,0,-0.93027432467549,-0.818412493512673
"12","Inactive","~~","Social",-0.649400813103361,0.0834792935744776,-7.77918433777815,7.32747196252603e-15,-0.813017221964183,-0.485784404242538
"13","Education","~~","Gym",-0.227727803014837,0.0810485263082314,-2.809771051836,0.00495767533426617,-0.386579995579018,-0.0688756104506568
"14","Education","~~","Work",-0.419030407198792,0.0711578310289494,-5.8887462017823,3.89136500800191e-09,-0.55849719323352,-0.279563621164065
"15","Education","~~","Social",0.252276788480082,0.0862328502575356,2.92552997757413,0.00343870043714256,0.0832635076910763,0.421290069269087
"16","Work","~~","Gym",-0.537563682842283,0.0435137734221826,-12.3538742003984,0,-0.622849111581197,-0.452278254103369
"17","Gym","~~","Social",-0.31171135166718,0.0745776556613472,-4.17968825786966,2.91908980796229e-05,-0.45788087081485,-0.165541832519509
"18","Work","~~","Social",0.203734839399978,0.0647027790339891,3.14878035289571,0.00163953375230563,0.0769197227937055,0.33054995600625
"19","M_Atr","|","t1",-0.114603854886128,0,NA,NA,-0.114603854886128,-0.114603854886128
"20","X_Atr","|","t1",0.715253275329904,0,NA,NA,0.715253275329904,0.715253275329904
"21","F_Atr","|","t1",-0.121513059290583,0,NA,NA,-0.121513059290583,-0.121513059290583
"22","Inactive","|","t1",0.686019629928306,0,NA,NA,0.686019629928306,0.686019629928306
"23","Education","|","t1",1.46714811975414,0,NA,NA,1.46714811975414,1.46714811975414
"24","Work","|","t1",0.304234942999139,0,NA,NA,0.304234942999139,0.304234942999139
"25","Gym","|","t1",0.674489750196082,0,NA,NA,0.674489750196082,0.674489750196082
"26","Social","|","t1",1.32761124018722,0,NA,NA,1.32761124018722,1.32761124018722
"27","M_Atr","~~","M_Atr",0.246786632340449,0,NA,NA,0.246786632340449,0.246786632340449
"28","X_Atr","~~","X_Atr",0.758523550758571,0,NA,NA,0.758523550758571,0.758523550758571
"29","F_Atr","~~","F_Atr",0.300363675886913,0,NA,NA,0.300363675886913,0.300363675886913
"30","Inactive","~~","Inactive",1,0,NA,NA,1,1
"31","Education","~~","Education",1,0,NA,NA,1,1
"32","Work","~~","Work",1,0,NA,NA,1,1
"33","Gym","~~","Gym",1,0,NA,NA,1,1
"34","Social","~~","Social",1,0,NA,NA,1,1
"35","Attraction","~~","Attraction",1,0,NA,NA,1,1
"36","M_Atr","~*~","M_Atr",1,0,NA,NA,1,1
"37","X_Atr","~*~","X_Atr",1,0,NA,NA,1,1
"38","F_Atr","~*~","F_Atr",1,0,NA,NA,1,1
"39","Inactive","~*~","Inactive",1,0,NA,NA,1,1
"40","Education","~*~","Education",1,0,NA,NA,1,1
"41","Work","~*~","Work",1,0,NA,NA,1,1
"42","Gym","~*~","Gym",1,0,NA,NA,1,1
"43","Social","~*~","Social",1,0,NA,NA,1,1
"44","M_Atr","~1","",0,0,NA,NA,0,0
"45","X_Atr","~1","",0,0,NA,NA,0,0
"46","F_Atr","~1","",0,0,NA,NA,0,0
"47","Inactive","~1","",0,0,NA,NA,0,0
"48","Education","~1","",0,0,NA,NA,0,0
"49","Work","~1","",0,0,NA,NA,0,0
"50","Gym","~1","",0,0,NA,NA,0,0
"51","Social","~1","",0,0,NA,NA,0,0
"52","Attraction","~1","",0,0,NA,NA,0,0
