"","x"
"Romanticism=~M_Rom",0.835377302618466
"Romanticism=~X_Rom",0.852607719373518
"Romanticism=~F_Rom",0.895913418800111
"Romanticism~Inactive",-0.0222063308303055
"Romanticism~Education",-0.0299590325669508
"Romanticism~Work",-0.165413332916557
"Romanticism~Gym",0.0261556103285255
"Romanticism~Social",0.106857853576689
"Inactive~~Education",-0.660501428879462
"Inactive~~Gym",-0.851396995720088
"Inactive~~Work",-0.874343414166359
"Inactive~~Social",-0.649400940820089
"Education~~Gym",-0.227727931004947
"Education~~Work",-0.419032114567254
"Education~~Social",0.252275595748161
"Work~~Gym",-0.537563825990971
"Gym~~Social",-0.311709968036689
"Work~~Social",0.203735149323118
