"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","Romanticism","=~","M_Rom",0.835377302618466,0.0300820687448198,27.769941944645,0,0.776417531298161,0.894337073938771
"2","Romanticism","=~","X_Rom",0.852607719373518,0.0271445220428475,31.4099367094281,0,0.799405433791983,0.905810004955053
"3","Romanticism","=~","F_Rom",0.895913418800111,0.0272030887650438,32.9342534054944,0,0.842596344552379,0.949230493047843
"4","Romanticism","~","Inactive",-0.0222063308303055,0.0349577517841601,-0.635233380207463,0.525276215681445,-0.0907222653077502,0.0463096036471392
"5","Romanticism","~","Education",-0.0299590325669508,0.0634766015922802,-0.471969699313492,0.636948416706072,-0.154370885548818,0.0944528204149162
"6","Romanticism","~","Work",-0.165413332916557,0.0509031198083196,-3.24957160856615,0.00115578974910369,-0.265181614441591,-0.0656450513915229
"7","Romanticism","~","Gym",0.0261556103285255,0.0426244910455348,0.613628683579684,0.539460724670751,-0.0573868569800726,0.109698077637124
"8","Romanticism","~","Social",0.106857853576689,0.0866594907605172,1.2330773310449,0.217546914114999,-0.0629916272325065,0.276707334385884
"9","Inactive","~~","Education",-0.660501428879462,0.242736225393295,-2.72106657261099,0.00650716554511943,-1.13625568839352,-0.184747169365407
"10","Inactive","~~","Gym",-0.851396995720088,0.223802501060708,-3.80423360634892,0.000142243896440908,-1.29004183744906,-0.412752153991112
"11","Inactive","~~","Work",-0.874343414166359,0.0285367057877513,-30.639255304011,0,-0.930274329747768,-0.818412498584951
"12","Inactive","~~","Social",-0.649400940820089,0.0834792935744777,-7.7791858676992,7.32747196252603e-15,-0.813017349680912,-0.485784531959267
"13","Education","~~","Gym",-0.227727931004947,0.0810485263082313,-2.80977263101474,0.00495765101035284,-0.386580123569127,-0.0688757384407664
"14","Education","~~","Work",-0.419032114567254,0.0711578310289494,-5.88877019588719,3.89080012652698e-09,-0.558498900601981,-0.279565328532526
"15","Education","~~","Social",0.252275595748161,0.0862328502575357,2.92551614604802,0.00343885330468674,0.0832623149591561,0.421288876537167
"16","Work","~~","Gym",-0.537563825990971,0.0435137734221826,-12.3538774901312,0,-0.622849254729885,-0.452278397252056
"17","Gym","~~","Social",-0.311709968036689,0.0745776556613472,-4.17966970498705,2.91932795806193e-05,-0.45787948718436,-0.165540448889019
"18","Work","~~","Social",0.203735149323118,0.0647027790339891,3.14878514284671,0.00163950688076619,0.0769200327168464,0.33055026592939
"19","M_Rom","|","t1",0.121513059290583,0,NA,NA,0.121513059290583,0.121513059290583
"20","X_Rom","|","t1",0.923322019703909,0,NA,NA,0.923322019703909,0.923322019703909
"21","F_Rom","|","t1",0.539682430751915,0,NA,NA,0.539682430751915,0.539682430751915
"22","Inactive","|","t1",0.686019629928306,0,NA,NA,0.686019629928306,0.686019629928306
"23","Education","|","t1",1.46714811975414,0,NA,NA,1.46714811975414,1.46714811975414
"24","Work","|","t1",0.304234942999139,0,NA,NA,0.304234942999139,0.304234942999139
"25","Gym","|","t1",0.674489750196082,0,NA,NA,0.674489750196082,0.674489750196082
"26","Social","|","t1",1.32761124018722,0,NA,NA,1.32761124018722,1.32761124018722
"27","M_Rom","~~","M_Rom",0.282661297247169,0,NA,NA,0.282661297247169,0.282661297247169
"28","X_Rom","~~","X_Rom",0.252764594649638,0,NA,NA,0.252764594649638,0.252764594649638
"29","F_Rom","~~","F_Rom",0.174929606286693,0,NA,NA,0.174929606286693,0.174929606286693
"30","Inactive","~~","Inactive",1,0,NA,NA,1,1
"31","Education","~~","Education",1,0,NA,NA,1,1
"32","Work","~~","Work",1,0,NA,NA,1,1
"33","Gym","~~","Gym",1,0,NA,NA,1,1
"34","Social","~~","Social",1,0,NA,NA,1,1
"35","Romanticism","~~","Romanticism",1,0,NA,NA,1,1
"36","M_Rom","~*~","M_Rom",1,0,NA,NA,1,1
"37","X_Rom","~*~","X_Rom",1,0,NA,NA,1,1
"38","F_Rom","~*~","F_Rom",1,0,NA,NA,1,1
"39","Inactive","~*~","Inactive",1,0,NA,NA,1,1
"40","Education","~*~","Education",1,0,NA,NA,1,1
"41","Work","~*~","Work",1,0,NA,NA,1,1
"42","Gym","~*~","Gym",1,0,NA,NA,1,1
"43","Social","~*~","Social",1,0,NA,NA,1,1
"44","M_Rom","~1","",0,0,NA,NA,0,0
"45","X_Rom","~1","",0,0,NA,NA,0,0
"46","F_Rom","~1","",0,0,NA,NA,0,0
"47","Inactive","~1","",0,0,NA,NA,0,0
"48","Education","~1","",0,0,NA,NA,0,0
"49","Work","~1","",0,0,NA,NA,0,0
"50","Gym","~1","",0,0,NA,NA,0,0
"51","Social","~1","",0,0,NA,NA,0,0
"52","Romanticism","~1","",0,0,NA,NA,0,0
