"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","M_Atr","~","Inactive",-0.0296906556607401,0.0493075350259471,-0.602152503570011,0.547072628265549,-0.126331648478044,0.0669503371565635
"2","M_Atr","~","Education",0.113932828243557,0.0624873087245545,1.82329549102163,0.0682586488652213,-0.00854004634740535,0.236405702834519
"3","M_Atr","~","Work",0.0491826798177709,0.0422961822572905,1.1628160555624,0.244904141548624,-0.0337163140900606,0.132081673725602
"4","M_Atr","~","Gym",0.198829099556317,0.0447941952924255,4.43872466640646,9.04934914491839e-06,0.11103409006671,0.286624109045925
"5","M_Atr","~","Social",0.322912750822719,0.0520848481309066,6.19974450172402,5.65548941011684e-10,0.220828324345904,0.424997177299534
"6","X_Atr","~","Inactive",-0.0342340257133969,0.0428272563208109,-0.799351362995478,0.424086703984869,-0.118173905658852,0.0497058542320578
"7","X_Atr","~","Education",0.0708623685539788,0.0542748686612677,1.3056202677566,0.191681724421864,-0.0355144192877476,0.177239156395705
"8","X_Atr","~","Work",0.0122946161710144,0.0367373756966656,0.33466234149464,0.737879812032793,-0.0597093170809672,0.084298549422996
"9","X_Atr","~","Gym",-0.0052130413502668,0.0389070855491689,-0.133986940339666,0.893412901412508,-0.0814695277700567,0.0710434450695231
"10","X_Atr","~","Social",0.244407651359996,0.045239559028027,5.40252063926129,6.57108938373341e-08,0.155739744988589,0.333075557731402
"11","F_Atr","~","Inactive",-0.0400639158758706,0.0494334730769498,-0.810461280224146,0.417675110096416,-0.136951742737423,0.0568239109856814
"12","F_Atr","~","Education",0.257830827792096,0.0626469096834958,4.11561925551806,3.86141280277474e-05,0.135045141069711,0.380616514514481
"13","F_Atr","~","Work",0.114825669635542,0.0424042123738952,2.70788356173386,0.0067713774739051,0.0317149405899202,0.197936398681165
"14","F_Atr","~","Gym",0.206886209448658,0.044908605669022,4.60682771968956,4.08858469769235e-06,0.118866959741464,0.294905459155853
"15","F_Atr","~","Social",0.143159707978354,0.0522178798117019,2.74158407990881,0.0061143709755429,0.0408145441983769,0.245504871758331
"16","Inactive","~~","Education",-0.0175322342549318,0.00338796014751433,-5.17486437017117,2.28076599384508e-07,-0.0241725141251169,-0.0108919543847467
"17","Inactive","~~","Gym",-0.0615875905819466,0.00593491389095544,-10.3771666638337,0,-0.0732198080595657,-0.0499553731043275
"18","Inactive","~~","Work",-0.0919052031953938,0.00690191978269784,-13.3158897942841,0,-0.105432717393666,-0.0783776889971216
"19","Inactive","~~","Social",-0.0217895868514455,0.00382169345830565,-5.70155275119997,1.18720984154663e-08,-0.0292799683896769,-0.0142992053132141
"20","Education","~~","Gym",-0.00866788324078642,0.00337301545275356,-2.5697727633327,0.0101765243190128,-0.0152788720474805,-0.00205689443409239
"21","Education","~~","Work",-0.0188658819534609,0.00381331036799606,-4.94737646109178,7.52204128762202e-07,-0.0263398329366064,-0.0113919309703155
"22","Education","~~","Social",0.00712777729411727,0.0022565907819891,3.15864859105486,0.00158502484788303,0.00270494063357355,0.011550613954661
"23","Work","~~","Gym",-0.062271898189151,0.00662293193969003,-9.40246687663612,0,-0.0752526062630034,-0.0492911901152985
"24","Gym","~~","Social",-0.0139142337105017,0.00380645508201027,-3.65543094840707,0.000256750311857123,-0.0213747485800113,-0.00645371884099212
"25","Work","~~","Social",0.0132956948127864,0.00426075580920487,3.12050148099608,0.00180543390111398,0.00494476687982509,0.0216466227457478
"26","M_Atr","~~","M_Atr",0.231320856590278,0.00988153726087523,23.4093998214392,0,0.211953399447072,0.250688313733484
"27","X_Atr","~~","X_Atr",0.174513373326004,0.00745484184375276,23.4093998214393,0,0.159902151801806,0.189124594850201
"28","F_Atr","~~","F_Atr",0.232504014558345,0.00993207926439056,23.4093998214392,0,0.213037496908542,0.251970532208147
"29","Inactive","~~","Inactive",0.185661862214766,0.00793108168645697,23.4093998214392,0,0.170117227750865,0.201206496678667
"30","Education","~~","Education",0.0661030158646624,0.00282378089010735,23.4093998214392,0,0.0605685070198195,0.0716375247095053
"31","Work","~~","Work",0.235713643460703,0.0100691878159485,23.4093998214392,0,0.215978397987874,0.255448888933532
"32","Gym","~~","Gym",0.187499999417387,0.00800960301620665,23.4093998214392,0,0.171801465975159,0.203198532859616
"33","Social","~~","Social",0.0836610563643953,0.00357382320787974,23.4093998214393,0,0.0766564915898377,0.090665621138953
"34","M_Atr","~~","X_Atr",0.0423574477778381,0.00620239066712719,6.82921312943629,8.5380591485773e-12,0.0302009854522214,0.0545139101034547
"35","M_Atr","~~","F_Atr",0.114917718258659,0.0078180208830276,14.6990804933942,0,0.0995946788975431,0.130240757619775
"36","X_Atr","~~","F_Atr",0.0440099861998208,0.0062280225841066,7.06644614811298,1.5896173266583e-12,0.0318032862400697,0.0562166861595718
