"","x"
"M_Atr~Inactive",-0.0296906556607401
"M_Atr~Education",0.113932828243557
"M_Atr~Work",0.0491826798177709
"M_Atr~Gym",0.198829099556317
"M_Atr~Social",0.322912750822719
"X_Atr~Inactive",-0.0342340257133969
"X_Atr~Education",0.0708623685539788
"X_Atr~Work",0.0122946161710144
"X_Atr~Gym",-0.0052130413502668
"X_Atr~Social",0.244407651359996
"F_Atr~Inactive",-0.0400639158758706
"F_Atr~Education",0.257830827792096
"F_Atr~Work",0.114825669635542
"F_Atr~Gym",0.206886209448658
"F_Atr~Social",0.143159707978354
"Inactive~~Education",-0.0175322342549318
"Inactive~~Gym",-0.0615875905819466
"Inactive~~Work",-0.0919052031953938
"Inactive~~Social",-0.0217895868514455
"Education~~Gym",-0.00866788324078642
"Education~~Work",-0.0188658819534609
"Education~~Social",0.00712777729411727
"Work~~Gym",-0.062271898189151
"Gym~~Social",-0.0139142337105017
"Work~~Social",0.0132956948127864
"M_Atr~~M_Atr",0.231320856590278
"X_Atr~~X_Atr",0.174513373326004
"F_Atr~~F_Atr",0.232504014558345
"Inactive~~Inactive",0.185661862214766
"Education~~Education",0.0661030158646624
"Work~~Work",0.235713643460703
"Gym~~Gym",0.187499999417387
"Social~~Social",0.0836610563643953
"M_Atr~~X_Atr",0.0423574477778381
"M_Atr~~F_Atr",0.114917718258659
"X_Atr~~F_Atr",0.0440099861998208
