"","x"
"M_Ero~Inactive",0.0981532183578736
"M_Ero~Education",-0.175889199031137
"M_Ero~Work",-0.0769345625035715
"M_Ero~Gym",0.00809118382880692
"M_Ero~Social",-0.133827716765383
"X_Ero~Inactive",0.0665975751395337
"X_Ero~Education",-0.20328551655898
"X_Ero~Work",-0.0456781246239361
"X_Ero~Gym",0.0120190840354622
"X_Ero~Social",-0.129617714081121
"F_Ero~Inactive",0.132707675592544
"F_Ero~Education",-0.28197941706948
"F_Ero~Work",-0.0511876232437883
"F_Ero~Gym",0.0402156374632074
"F_Ero~Social",-0.198104580672723
"Inactive~~Education",-0.0175322337710188
"Inactive~~Gym",-0.0615875914944181
"Inactive~~Work",-0.0919052014328166
"Inactive~~Social",-0.0217895855883925
"Education~~Gym",-0.00866788229256522
"Education~~Work",-0.018865882801661
"Education~~Social",0.00712777658385415
"Work~~Gym",-0.0622718982007054
"Gym~~Social",-0.0139142350425841
"Work~~Social",0.0132956952416752
"M_Ero~~M_Ero",0.236711968109046
"X_Ero~~X_Ero",0.215899449830452
"F_Ero~~F_Ero",0.232462184802888
"Inactive~~Inactive",0.185661861955964
"Education~~Education",0.0661030157829937
"Work~~Work",0.235713642744021
"Gym~~Gym",0.187499999877655
"Social~~Social",0.0836610563831294
"M_Ero~~X_Ero",0.108682635927559
"M_Ero~~F_Ero",0.0785590533222308
"X_Ero~~F_Ero",0.082344928625879
