"","x"
"M~M_Z",0.0975246628885115
"M~X_Z",0.0623007470596152
"M~F_Z",0.0144512419682498
"X~M_Z",0.01855536274947
"X~X_Z",0.101135601157613
"X~F_Z",0.00261715628390361
"F~M_Z",0.0404338057845671
"F~X_Z",0.032483891041672
"F~F_Z",0.0846816434994342
"M_B~M",0.0995124186331065
"M_B~X",0.0586797656866476
"M_B~F",0.0162081798752466
"X_B~M",0.0189637598751212
"X_B~X",0.0993500615879176
"X_B~F",0.00299970171267313
"F_B~M",0.0423071313651304
"F_B~X",0.0293500499307386
"F_B~F",0.0863316671793681
"M_C~M_B",0.0993558603180914
"M_C~X_B",0.0598397039582309
"M_C~F_B",0.0158594277646112
"X_C~M_B",0.0193970219619347
"X_C~X_B",0.0989851734842209
"X_C~F_B",0.00344061746797379
"F_C~M_B",0.0420692115322103
"F_C~X_B",0.0305585161744352
"F_C~F_B",0.0859038001861209
"M_Z~~X_Z",0.0536705328579123
"M_Z~~F_Z",0.10166502889707
"X_Z~~F_Z",0.0530303476593605
"M~~X",0.0511703014825855
"M~~F",0.0985923369919531
"X~~F",0.0510398184720731
"M_B~~X_B",0.0513464229662259
"M_B~~F_B",0.0984717901985667
"X_B~~F_B",0.0512064111995535
"M_C~~X_C",0.0514648808839557
"M_C~~F_C",0.0984296650364815
"X_C~~F_C",0.0513237473588358
"M~~M",0.246007098746485
"X~~X",0.134319875827812
"F~~F",0.245137242792702
"M_B~~M_B",0.245933581961766
"X_B~~X_B",0.134353888864809
"F_B~~F_B",0.244972513437087
"M_C~~M_C",0.245914272037678
"X_C~~X_C",0.134347892118385
"F_C~~F_C",0.244908463070355
"M_Z~~M_Z",0.249996384048103
"X_Z~~X_Z",0.135415254513348
"F_Z~~F_Z",0.248600312287522
