"","x"
"M~Inactive",0.0873124664324525
"M~Education",0.021397495827956
"M~Work",0.00152883045682991
"M~Gym",0.148613534241098
"M~Social",0.171152061150518
"M~M_Z",0.0908304691308342
"X~Inactive",-0.0131740492092626
"X~Education",-0.0755593221246842
"X~Work",-0.0361383244054637
"X~Gym",-0.0108335601348382
"X~Social",0.06242653561629
"X~X_Z",0.0895993623210845
"F~Inactive",0.0787311994046145
"F~Education",-0.00163132919344522
"F~Work",0.0208557121816876
"F~Gym",0.152541076084426
"F~Social",-0.0834722138603333
"F~F_Z",0.0886633770061898
"Inactive~~Education",-0.0175322326598378
"Inactive~~Gym",-0.0615875896007255
"Inactive~~Work",-0.0919051831845759
"Inactive~~Social",-0.0217895701463503
"Education~~Gym",-0.00866788019780232
"Education~~Work",-0.0188658825726758
"Education~~Social",0.00712777098143206
"Work~~Gym",-0.0622719248521729
"Gym~~Social",-0.0139142430264135
"Work~~Social",0.0132956900202422
"Inactive~~M_Z",-0.015973807159842
"Education~~M_Z",0.00377949298019564
"Gym~~M_Z",0.0177919826865035
"Work~~M_Z",-0.0125356405961338
"Social~~M_Z",0.00153677876576077
"Inactive~~X_Z",-0.00511315701252483
"Education~~X_Z",0.00219277581172994
"Gym~~X_Z",0.00615877506420541
"Work~~X_Z",-0.00943792293641548
"Social~~X_Z",0.0051905691983293
"Inactive~~F_Z",0.00465360733917674
"Education~~F_Z",0.00083748286769623
"Gym~~F_Z",0.0139142563260609
"Work~~F_Z",-0.0181574462227786
"Social~~F_Z",-0.00157090606554525
"M_Z~~X_Z",0.0536706096055044
"M_Z~~F_Z",0.101665336112386
"X_Z~~F_Z",0.0530304102738215
"M~~M",0.241790685985409
"X~~X",0.133774800797058
"F~~F",0.24115888700617
"Inactive~~Inactive",0.185661831364117
"Education~~Education",0.0661030175600895
"Work~~Work",0.235713648300245
"Gym~~Gym",0.18750001164695
"Social~~Social",0.0836610475237233
"M_Z~~M_Z",0.249996711478797
"X_Z~~X_Z",0.13541527689199
"F_Z~~F_Z",0.248600571021575
"M~~X",0.0504559233770084
"M~~F",0.0970810456568511
"X~~F",0.0515679235981072
