"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","M","~","Inactive",0.0757695643150062,0.0507150426889563,1.49402544684254,0.13516896830264,-0.0236300928297595,0.175169221459772
"2","M","~","Education",0.0212047869217993,0.0642710395831374,0.329927554608323,0.741454702608957,-0.104764135910098,0.147173709753697
"3","M","~","Work",-0.007337528087441,0.0435035474342457,-0.168665051937005,0.866060109398428,-0.0926029142582925,0.0779278580834105
"4","M","~","Gym",0.150517479004803,0.0460728675935235,3.26694401426754,0.00108715177559437,0.0602163178570139,0.240818640152591
"5","M","~","Social",0.171556535110476,0.0535716357883546,3.20237626844632,0.00136298838908799,0.0665580583724042,0.276555011848548
"6","X","~","Inactive",-0.0181361668481726,0.0377023450911221,-0.481035511301474,0.630491260222277,-0.0920314053594724,0.0557590716631273
"7","X","~","Education",-0.0762034271994978,0.0477800823039884,-1.5948785252121,0.110739402696906,-0.169850667693675,0.017443813294679
"8","X","~","Work",-0.0420870033294519,0.0323412082705611,-1.30134294851816,0.1931410924668,-0.105474606756261,0.0213006000973568
"9","X","~","Gym",-0.011138735400105,0.0342512805126133,-0.325206393261795,0.745024870326541,-0.0782700116292057,0.0559925408289957
"10","X","~","Social",0.0676427326662556,0.039825980468479,1.69845743583871,0.0894214596501834,-0.010414754700959,0.14570022003347
"11","F","~","Inactive",0.0809839664569351,0.0505951086323713,1.60062837388832,0.109459253948449,-0.0181806242564041,0.180148557170274
"12","F","~","Education",-0.000406680495688372,0.0641190474701579,-0.006342584797094,0.994939383444908,-0.126077704260212,0.125264343268835
"13","F","~","Work",0.0165552791893053,0.0434006675658085,0.381452178453305,0.702867749567829,-0.068508466144675,0.101619024523286
"14","F","~","Gym",0.158525898624208,0.0459639116385244,3.44892096806096,0.000562831406376141,0.0684382872241189,0.248613510024297
"15","F","~","Social",-0.0829757317068459,0.0534449462844653,-1.55254589021758,0.12053166125617,-0.187725901580076,0.0217744381663837
"16","Inactive","~~","Education",-0.0175322342087316,0.003387960170376,-5.17486432161503,2.28076658670417e-07,-0.0241725141237247,-0.0108919542937384
"17","Inactive","~~","Gym",-0.0615875915287411,0.00593491391963643,-10.3771667732148,0,-0.0732198090625739,-0.0499553739949082
"18","Inactive","~~","Work",-0.0919052022397307,0.00690191977672258,-13.3158896673488,0,-0.105432716426292,-0.0783776880531698
"19","Inactive","~~","Social",-0.021789587055861,0.0038216934737083,-5.7015527817091,1.18720961950203e-08,-0.0292799686242811,-0.014299205487441
"20","Education","~~","Gym",-0.00866788395122116,0.00337301547494131,-2.56977295705173,0.0101765186287801,-0.0152788728014024,-0.00205689510103993
"21","Education","~~","Work",-0.0188658823205729,0.0038133103823702,-4.947376538714,7.52203829001985e-07,-0.0263398333318911,-0.0113919313092546
"22","Education","~~","Social",0.00712777738653065,0.00225659079635083,3.15864861190478,0.00158502473449884,0.00270494069783846,0.0115506140752228
"23","Work","~~","Gym",-0.0622718970646672,0.00662293193072669,-9.40246671957483,0,-0.0752526051209518,-0.0492911890083825
"24","Gym","~~","Social",-0.0139142337227792,0.00380645509334974,-3.65543094074294,0.000256750319527876,-0.0213747486145137,-0.00645371883104464
"25","Work","~~","Social",0.0132956940062528,0.00426075580815389,3.12050129247223,0.00180543505677067,0.0049447660753513,0.0216466219371542
"26","M","~~","M",0.244715683317632,0.0104537359002904,23.4093998214392,0,0.224226737449169,0.265204629186094
"27","X","~~","X",0.13524615930697,0.00577742959403453,23.4093998214393,0,0.123922605379447,0.146569713234494
"28","F","~~","F",0.243559614466496,0.0104043510864996,23.4093998214393,0,0.223167461054446,0.263951767878545
"29","Inactive","~~","Inactive",0.185661863058779,0.00793108172251143,23.4093998214393,0,0.170117228524213,0.201206497593345
"30","Education","~~","Education",0.0661030164873443,0.002823780916707,23.4093998214392,0,0.0605685075903671,0.0716375253843215
"31","Work","~~","Work",0.235713642848384,0.0100691877897915,23.4093998214393,0,0.215978397426822,0.255448888269946
"32","Gym","~~","Gym",0.187499999946556,0.00800960303881162,23.4093998214392,0,0.171801466460023,0.203198533433089
"33","Social","~~","Social",0.0836610566310683,0.00357382321927144,23.4093998214393,0,0.0766564918341833,0.0906656214279534
"34","M","~~","X",0.0520871839568706,0.0057160558717898,9.11243436473987,0,0.0408839203145438,0.0632904475991973
"35","M","~~","F",0.0993085638996876,0.00796118826334265,12.4740881153325,0,0.083704921629393,0.114912206169982
"36","X","~~","F",0.0528152707480872,0.00570966935355209,9.25014523218054,0,0.041624524451493,0.0640060170446814
