"","x"
"M~Inactive",0.0757695643150062
"M~Education",0.0212047869217993
"M~Work",-0.007337528087441
"M~Gym",0.150517479004803
"M~Social",0.171556535110476
"X~Inactive",-0.0181361668481726
"X~Education",-0.0762034271994978
"X~Work",-0.0420870033294519
"X~Gym",-0.011138735400105
"X~Social",0.0676427326662556
"F~Inactive",0.0809839664569351
"F~Education",-0.000406680495688372
"F~Work",0.0165552791893053
"F~Gym",0.158525898624208
"F~Social",-0.0829757317068459
"Inactive~~Education",-0.0175322342087316
"Inactive~~Gym",-0.0615875915287411
"Inactive~~Work",-0.0919052022397307
"Inactive~~Social",-0.021789587055861
"Education~~Gym",-0.00866788395122116
"Education~~Work",-0.0188658823205729
"Education~~Social",0.00712777738653065
"Work~~Gym",-0.0622718970646672
"Gym~~Social",-0.0139142337227792
"Work~~Social",0.0132956940062528
"M~~M",0.244715683317632
"X~~X",0.13524615930697
"F~~F",0.243559614466496
"Inactive~~Inactive",0.185661863058779
"Education~~Education",0.0661030164873443
"Work~~Work",0.235713642848384
"Gym~~Gym",0.187499999946556
"Social~~Social",0.0836610566310683
"M~~X",0.0520871839568706
"M~~F",0.0993085638996876
"X~~F",0.0528152707480872
