"","x"
"M_Rom~Inactive",0.0710958138025033
"M_Rom~Education",0.074174498636091
"M_Rom~Work",-0.033128304614867
"M_Rom~Gym",0.0836948876892346
"M_Rom~Social",0.111913510910855
"X_Rom~Inactive",0.00125421624337911
"X_Rom~Education",0.0484198882820958
"X_Rom~Work",-0.0237440057927944
"X_Rom~Gym",0.0238663954342816
"X_Rom~Social",0.047896663737382
"F_Rom~Inactive",0.0890935872876394
"F_Rom~Education",0.0489298045603395
"F_Rom~Work",0.00397147016660793
"F_Rom~Gym",0.109967329305446
"F_Rom~Social",0.0392513474202834
"Inactive~~Education",-0.0175322339206791
"Inactive~~Gym",-0.0615875885985876
"Inactive~~Work",-0.0919052076056219
"Inactive~~Social",-0.0217895862443056
"Education~~Gym",-0.00866788272171913
"Education~~Work",-0.018865883211973
"Education~~Social",0.00712777834890074
"Work~~Gym",-0.062271905967433
"Gym~~Social",-0.0139142348586931
"Work~~Social",0.0132956949537607
"M_Rom~~M_Rom",0.244481634577966
"X_Rom~~X_Rom",0.145615430796682
"F_Rom~~F_Rom",0.205643894386838
"Inactive~~Inactive",0.185661863655306
"Education~~Education",0.0661030135283841
"Work~~Work",0.235713655119188
"Gym~~Gym",0.187500002480201
"Social~~Social",0.0836610590283092
"M_Rom~~X_Rom",0.078043766339288
"M_Rom~~F_Rom",0.115525586710982
"X_Rom~~F_Rom",0.0900727749632741
