"","x"
"Attraction=~M_Atr",0.802903294764358
"Attraction=~X_Atr",0.419688739079736
"Attraction=~F_Atr",0.714452858200952
"Romanticism=~M_Rom",0.829070721908404
"Romanticism=~X_Rom",0.826700468237461
"Romanticism=~F_Rom",0.871540850048451
"Eroticism=~M_Ero",0.669440426833398
"Eroticism=~X_Ero",0.705715880996825
"Eroticism=~F_Ero",0.612454628581008
"Romanticism~Inactive",0.0316676838929383
"Romanticism~Education",-0.0200034863495135
"Romanticism~Work",-0.126135702955109
"Romanticism~Gym",0.013539286721537
"Romanticism~Social",0.0240678915600485
"Eroticism~Inactive",0.338229696460264
"Eroticism~Education",-0.237847232164326
"Eroticism~Work",0.105627300418149
"Eroticism~Gym",0.151667492080866
"Eroticism~Social",-0.305002955038131
"Attraction~Inactive",-0.255166858273324
"Attraction~Education",-0.0504866046711694
"Attraction~Work",-0.202974158773122
"Attraction~Gym",0.0616858346583438
"Attraction~Social",0.401846368431915
"Romanticism~Attraction",0.212891060065967
"Eroticism~Attraction",0.334223291091467
"Eroticism~Romanticism",0.150413086428976
"Inactive~~Education",-0.660495955710931
"Inactive~~Gym",-0.851394108087593
"Inactive~~Work",-0.874343597024734
"Inactive~~Social",-0.649398696358809
"Education~~Gym",-0.227731022924818
"Education~~Work",-0.419033272463962
"Education~~Social",0.252276682170564
"Work~~Gym",-0.537564371501914
"Gym~~Social",-0.311708163303363
"Work~~Social",0.203736957605359
