"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","Attraction","=~","M_Atr",0.802903294764358,0.0434627197952551,18.4733789911604,0,0.717717929295502,0.888088660233213
"2","Attraction","=~","X_Atr",0.419688739079736,0.0403139706136923,10.4105036713301,0,0.340674808603094,0.498702669556379
"3","Attraction","=~","F_Atr",0.714452858200952,0.0384296853319327,18.5911711748336,0,0.639132059013157,0.789773657388747
"4","Romanticism","=~","M_Rom",0.829070721908404,0.030994757500097,26.7487403928167,0,0.768322113498661,0.889819330318147
"5","Romanticism","=~","X_Rom",0.826700468237461,0.0275351722409998,30.0234355173746,0,0.772732522336994,0.880668414137928
"6","Romanticism","=~","F_Rom",0.871540850048451,0.0270223506732781,32.2525919593776,0,0.818578015951214,0.924503684145688
"7","Eroticism","=~","M_Ero",0.669440426833398,0.0376199973946012,17.7948025836246,0,0.595706586841489,0.743174266825307
"8","Eroticism","=~","X_Ero",0.705715880996825,0.0392258300638303,17.9911012679259,0,0.628834666808029,0.782597095185621
"9","Eroticism","=~","F_Ero",0.612454628581008,0.0375956272283891,16.2905814780112,0,0.538768553237172,0.686140703924844
"10","Romanticism","~","Inactive",0.0316676838929383,0.0362683715527703,0.873148766739142,0.382581995899513,-0.0394170181284084,0.102752385914285
"11","Romanticism","~","Education",-0.0200034863495135,0.0643092592590305,-0.311051419033482,0.7557615323396,-0.146047318369662,0.106040345670635
"12","Romanticism","~","Work",-0.126135702955109,0.0522789784415277,-2.41274230513488,0.0158330094668808,-0.228600617849049,-0.0236707880611682
"13","Romanticism","~","Gym",0.013539286721537,0.0429219347217254,0.315439805062748,0.752427748225745,-0.0705861594798239,0.097664732922898
"14","Romanticism","~","Social",0.0240678915600485,0.0947760107041092,0.253944973851964,0.799538069238083,-0.161689676018388,0.209825459138485
"15","Eroticism","~","Inactive",0.338229696460264,0.0839507948542692,4.02890403893613,5.60374849829515e-05,0.173689162072385,0.502770230848142
"16","Eroticism","~","Education",-0.237847232164326,0.0926000874046953,-2.56854219937016,0.0102127276730735,-0.419340068442789,-0.0563543958858616
"17","Eroticism","~","Work",0.105627300418149,0.0783935678069149,1.34739754004195,0.177852232452765,-0.0480212691030031,0.259275869939301
"18","Eroticism","~","Gym",0.151667492080866,0.0534989110884079,2.83496409544172,0.00458308361876814,0.0468115531354756,0.256523431026256
"19","Eroticism","~","Social",-0.305002955038131,0.145426485486457,-2.09729991079606,0.0359670347650312,-0.590033628989824,-0.0199722810864382
"20","Attraction","~","Inactive",-0.255166858273324,0.0667557306029045,-3.82239630918251,0.00013216105857361,-0.386005686016675,-0.124328030529973
"21","Attraction","~","Education",-0.0504866046711694,0.0799624238404707,-0.631379118420583,0.527792666158216,-0.207210075515019,0.10623686617268
"22","Attraction","~","Work",-0.202974158773122,0.073360730214427,-2.76679577997447,0.00566102053760131,-0.346758547872958,-0.0591897696732858
"23","Attraction","~","Gym",0.0616858346583438,0.0513086701516379,1.20224972652842,0.229266788473194,-0.0388773109335117,0.162248980250199
"24","Attraction","~","Social",0.401846368431915,0.116959322277862,3.43577887256598,0.000590853016204873,0.172610309111092,0.631082427752738
"25","Romanticism","~","Attraction",0.212891060065967,0.0572609338324516,3.71791107509522,0.000200876950061879,0.10066169203323,0.325120428098703
"26","Eroticism","~","Attraction",0.334223291091467,0.0801093983220825,4.17208589868209,3.01823802484336e-05,0.177211755557012,0.491234826625922
"27","Eroticism","~","Romanticism",0.150413086428976,0.0623647116473955,2.41183006311964,0.0158726777446583,0.0281804976938552,0.272645675164097
"28","Inactive","~~","Education",-0.660495955710931,0.242736225393297,-2.72104402480822,0.00650760941461059,-1.13625021522499,-0.184741696196872
"29","Inactive","~~","Gym",-0.851394108087593,0.223802501060709,-3.80422070375632,0.000142251310069952,-1.29003894981657,-0.412749266358617
"30","Inactive","~~","Work",-0.874343597024734,0.0285367057877513,-30.6392617118415,0,-0.930274512606142,-0.818412681443326
"31","Inactive","~~","Social",-0.649398696358809,0.0834792935744776,-7.77915898125607,7.32747196252603e-15,-0.813015105219631,-0.485782287497987
"32","Education","~~","Gym",-0.227731022924818,0.0810485263082314,-2.80981078001032,0.00495706343844105,-0.386583215488999,-0.0688788303606377
"33","Education","~~","Work",-0.419033272463962,0.0711578310289494,-5.88878646811881,3.89041709958349e-09,-0.55850005849869,-0.279566486429235
