"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","AtrZ","=~","M_Atr_Z",0.927551553750921,0.0530375119376147,17.4885947674535,0,0.823599940523583,1.03150316697826
"2","AtrZ","=~","X_Atr_Z",0.457713177374084,0.0455679382598649,10.0446321438516,0,0.368401659535004,0.547024695213164
"3","AtrZ","=~","F_Atr_Z",0.789667823138143,0.0479481606337995,16.4691995000428,0,0.695691155170954,0.883644491105331
"4","RomZ","=~","M_Rom_Z",0.856220192761362,0.0292191263171589,29.3034152858481,0,0.798951757520004,0.91348862800272
"5","RomZ","=~","X_Rom_Z",0.869330724770526,0.025633917049834,33.9133002217527,0,0.819089170570164,0.919572278970888
"6","RomZ","=~","F_Rom_Z",0.898071123989666,0.0252128718661814,35.6195489651566,0,0.848654803185128,0.947487444794205
"7","EroZ","=~","M_Ero_Z",0.829509304807666,0.033461389750671,24.7900434198503,0,0.763926186023694,0.895092423591639
"8","EroZ","=~","X_Ero_Z",0.857195738391803,0.0329804467826436,25.9910286856064,0,0.792555250503781,0.921836226279824
"9","EroZ","=~","F_Ero_Z",0.702289029252766,0.0359997098842181,19.5081858023707,0,0.631730894425808,0.772847164079724
"10","Atr0","=~","M_Atr",0.780183117224275,0.0456366736563419,17.0955298604647,0,0.690736880483637,0.869629353964913
"11","Atr0","=~","X_Atr",0.409477091182713,0.040053352878249,10.2232912292613,0,0.330973962081271,0.487980220284155
"12","Atr0","=~","F_Atr",0.69486361701417,0.0393221944578102,17.6710284508589,0,0.617793532083781,0.771933701944558
"13","Rom0","=~","M_Rom",0.793176083699084,0.0339047318639208,23.3942591518658,0,0.726724030340311,0.859628137057856
"14","Rom0","=~","X_Rom",0.780676029181078,0.0308791010609101,25.2816954626097,0,0.720154103226722,0.841197955135435
"15","Rom0","=~","F_Rom",0.834879502606548,0.030198745030618,27.6461654866809,0,0.775691049968229,0.894067955244867
"16","Ero0","=~","M_Ero",0.663766971936969,0.0398458388371555,16.6583761644395,0,0.585670562882357,0.741863380991581
"17","Ero0","=~","X_Ero",0.691534315126607,0.041813878135654,16.5383921788625,0,0.609580619926779,0.773488010326436
"18","Ero0","=~","F_Ero",0.599623530014296,0.0391655316252358,15.3099806164239,0,0.52286049859347,0.676386561435123
"19","Atr0","~","Inactive",-0.267767778584163,0.0741771675232087,-3.60984097297033,0.000306384785917491,-0.413152355404846,-0.12238320176348
"20","Atr0","~","Education",-0.0518260627804436,0.0911232868872683,-0.568746634925048,0.569528094743718,-0.2304244232324,0.126772297671513
"21","Atr0","~","Work",-0.245783510809196,0.0809315999698983,-3.03692884980172,0.00239001862893118,-0.4044065319614,-0.0871604896569929
"22","Atr0","~","Gym",0.0665193105438467,0.061130987775725,1.08814388519109,0.276531592662952,-0.0532952238359326,0.186333844923626
"23","Atr0","~","Social",0.45090041520826,0.134274097581673,3.35805954632463,0.000784917023619824,0.187728019891565,0.714072810524956
