"","type","cov.M_Atr_Z","cov.X_Atr_Z","cov.F_Atr_Z","cov.M_Rom_Z","cov.X_Rom_Z","cov.F_Rom_Z","cov.M_Ero_Z","cov.X_Ero_Z","cov.F_Ero_Z","cov.M_Atr","cov.X_Atr","cov.F_Atr","cov.M_Rom","cov.X_Rom","cov.F_Rom","cov.M_Ero","cov.X_Ero","cov.F_Ero","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social","mean","th"
"M_Atr_Z","raw",0,-0.0139199741315207,-0.0032272888963244,0.0971369392772886,-0.0549434837353855,0.0118142548094431,0.047748152487268,-0.0246796157095313,0.00781046107663953,2.79205824321727e-07,0.0400968154567671,-0.0365993156733739,-0.00360568238815621,-0.023744432885932,-0.00986789461023157,0.0344928981308875,0.045317123363069,-0.0174422578361802,0.00572151141756464,-0.0269205392842039,-0.0145302986441765,-0.0264341068788834,-0.0731030744916215,0,0
"X_Atr_Z","raw",-0.0139199741315207,0,0.0446807301998157,0.023571667892871,0.000820575222914385,-0.035757641757816,-0.0819774364802284,-0.107274892959229,-0.0756711709924192,-0.0337344933743288,1.82256618963539e-07,0.0285606439629687,0.0124342787073403,-0.022326836286328,-0.0135125686726869,-0.0303717616359391,-0.0449349453029051,-0.0750690923194723,-0.0794434666207896,0.0368677979329892,0.0210609623062794,0.0335632768199998,0.106086305398605,0,0
"F_Atr_Z","raw",-0.0032272888963244,0.0446807301998157,0,-0.015131780742762,-0.0326250191181043,-0.0731522809058587,-0.0150088508829309,0.00314438057449745,0.114308424985332,-0.0426989667480364,0.0307359856517753,-1.04615498458527e-07,-0.0258721388056955,0.0366147898028033,0.0275919070046655,-0.0104160788424758,0.00483666552921014,-9.634819745475e-05,0.0177541791601113,0.0124842584401589,-0.00734776110729109,0.0180759892492265,0.067543476116254,0,0
"M_Rom_Z","raw",0.0971369392772886,0.023571667892871,-0.015131780742762,0,-0.00572764181739993,-0.00154323620571728,0.0121466534679699,-0.0580907775507685,0.0583647557285078,0.0534660456751799,0.0210169254487424,0.0325221510753331,-2.47315789514424e-07,-0.0834202384887428,0.00123997847837148,0.0040578794321769,-0.0715816032345371,-0.0395152473565299,-0.0541021063867093,0.0241308638568284,0.00360668999688429,0.0769148140843077,-0.0121227442227257,0,0
"X_Rom_Z","raw",-0.0549434837353855,0.000820575222914385,-0.0326250191181043,-0.00572764181739993,0,0.0102055198863241,-0.0535408250792492,-0.0353853520888548,-0.0374904103679854,-0.0027349871470946,0.0673826454440215,0.0415339458737414,0.0102744813104529,-1.76335169257968e-06,0.0151918275669393,0.0878381352889626,0.00970465830981333,-0.0174703000498032,0.0536922509316087,-0.0236568373589137,-0.0310572568034344,-0.0424458846847796,0.00595180606086422,0,0
"F_Rom_Z","raw",0.0118142548094431,-0.035757641757816,-0.0731522809058587,-0.00154323620571728,0.0102055198863241,0,-0.0235613769979182,-0.0197443136589531,0.0535569510938121,0.00429974837128166,0.0157368558985675,0.0162867854234956,0.0213800380527943,-0.0453800944216969,-3.31340445913764e-07,0.0326980994633713,0.00160048585246668,0.00721076177896363,0.058189732610489,-0.0170049809627109,0.0405150760531911,-0.051118548406315,-0.052889879884394,0,0
"M_Ero_Z","raw",0.047748152487268,-0.0819774364802284,-0.0150088508829309,0.0121466534679699,-0.0535408250792492,-0.0235613769979181,0,0.0106607083611213,-0.0328798792436019,0.0178085232279424,0.015939813798846,0.0618290450815052,0.0666138472194081,0.0466591242465566,0.0387839221651494,-8.08534291463214e-08,0.01739380317227,-0.0766772614178235,-0.0562284087755323,0.123419769766287,0.0321034712691608,-0.00129350878609979,-0.019830413483172,0,0
"X_Ero_Z","raw",-0.0246796157095313,-0.107274892959229,0.00314438057449747,-0.0580907775507684,-0.0353853520888548,-0.0197443136589531,0.0106607083611213,0,0.0107344472671679,0.0249234943267345,0.00782836642491427,-0.0333385146769946,-0.0528013255026498,-0.00427276421054047,-0.0192461555695854,0.0931554833536559,-3.2646374703571e-07,0.0168095514119839,0.0108923288058773,-0.0122575873462256,0.0490120002778315,-0.0147365938186818,-0.0558697271348507,0,0
"F_Ero_Z","raw",0.00781046107663953,-0.0756711709924192,0.114308424985332,0.0583647557285079,-0.0374904103679854,0.0535569510938121,-0.0328798792436019,0.0107344472671679,0,0.0586684485033426,-0.112078672581264,0.0302989753279892,0.0741979411910749,0.0781966001695711,0.125144646200413,-0.0458815184656366,-0.0193101604878567,-1.78457909331964e-07,0.0906470172066925,-0.0383170592737087,-0.0114313147080232,-0.00446590261628328,-0.129828749460756,0,0
"M_Atr","raw",2.79205824266215e-07,-0.0337344933743288,-0.0426989667480364,0.0534660456751799,-0.00273498714709459,0.00429974837128166,0.0178085232279424,0.0249234943267345,0.0586684485033426,0,-0.0172830378343435,-0.00106238723619168,0.1032310313399,-0.0397498718857648,0.0175685632077169,0.0517244833110466,-0.0213704664425731,0.0058103570408797,0.040553276459252,-0.0999703029584035,-0.0341609863555345,0.0175768131703981,0.0170470929856182,0,0
