"","x"
"1",0.910135908414299
"2",0.466489053472641
"3",0.800617904841003
"4",0.859172535607158
"5",0.859669595549756
"6",0.903732355961346
"7",0.821916159640953
"8",0.850183783397799
"9",0.721564731255659
"10",0.910135908414299
"11",0.466489053472641
"12",0.800617904841003
"13",0.859172535607158
"14",0.859669595549756
"15",0.903732355961346
"16",0.821916159640953
"17",0.850183783397799
"18",0.721564731255659
"19",-3.21687342309732
"20",-0.774178398373767
"21",-3.29896076384724
"22",-1.22837226637142
"23",-0.63121236280972
"24",-1.30850860512912
"25",-0.616477076850934
"26",-1.7133081390893
"27",-0.870314511894218
"28",-0.434229348469121
"29",3.09148483224381
"30",0.423852375922485
"31",2.98159651927984
"32",1.33098679682604
"33",0.808233743202148
"34",-0.0900862025258018
"35",-0.163472819194957
"36",0.232617549703896
"37",0.112671142908017
"38",0.191146312265175
"39",0.163389796476309
"40",0.471343836588538
"41",0.0986506334598358
"42",-0.180207259161418
"43",0.0120283688545977
"44",0.113744504793975
"45",0.0765351394383413
"46",0.0863264324741279
"47",-0.0338622045730442
"48",0.139612535718346
"49",0.0498439280263514
"50",0.111742390202654
"51",0.0243555532754456
"52",0.0452822268508896
"53",0.138317242398478
"54",-0.830654120240929
"55",-0.571203459167842
"56",-0.17857876953694
"57",-0.340385599684764
"58",0.288683307998376
"59",-0.48896069724429
"60",-0.270115199638006
"61",0.26756785197257
"62",-0.043592949680768
"63",-0.0529553269992846
"64",0.153330901277474
"65",-0.0811496423528068
"66",0.0526692190366345
"67",0.0417522296838678
"68",0.149419484227126
"69",0.112611492715597
"70",-0.142167686737985
"71",-0.0479603242761037
"72",-0.0753644869914053
"73",0.0382836394925434
"74",0.0515444906506447
"75",-0.0316460463462274
"76",0.103431707590957
"77",0.220548739207667
"78",0.128193051195778
"79",0.18628679953429
