"","type","cov.M_Atr_Z","cov.X_Atr_Z","cov.F_Atr_Z","cov.M_Rom_Z","cov.X_Rom_Z","cov.F_Rom_Z","cov.M_Ero_Z","cov.X_Ero_Z","cov.F_Ero_Z","cov.M_Atr","cov.X_Atr","cov.F_Atr","cov.M_Rom","cov.X_Rom","cov.F_Rom","cov.M_Ero","cov.X_Ero","cov.F_Ero","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social","mean","th"
"M_Atr_Z","raw",0,-0.0139358437335673,0.000559223287348143,0.103153120724281,-0.046294213850304,0.0176097124858796,0.0504234404261415,-0.022012413367121,0.00707644471791216,-3.79397809280313e-08,0.0549600678442533,-0.0125023494536818,-0.00253251663415279,-0.0230067132401248,-0.00872438159337016,0.0348437222226845,0.0458624285737255,-0.0165101108082026,0.0154767038081471,-0.0285634439942942,-0.00768178899155138,-0.0268958153754209,-0.0910945700998071,0,0
"X_Atr_Z","raw",-0.0139358437335673,0,0.032642609975922,0.0232490298920228,0.00179536703905202,-0.0363599032889717,-0.0824874362615046,-0.107851826104942,-0.0776400870995551,-0.0232446661711418,-2.07264040846811e-07,0.0385427987704422,0.012591759104356,-0.0223351016887096,-0.0133396722901869,-0.0306598358232328,-0.0451429116005166,-0.0750139954969117,-0.0738724278784806,0.0369769108498948,0.0258500129290297,0.0306721028733882,0.0962932950145857,0,0
"F_Atr_Z","raw",0.000559223287348143,0.032642609975922,0,-0.0148943621953651,-0.0301487556001239,-0.0733560994838548,-0.0154472022312751,0.00260573774385944,0.111299176487024,-0.0240779387312823,0.0417392632929523,-5.95781507961579e-07,-0.0255106804919833,0.0366903477735572,0.0279846172718725,-0.0108018152775799,0.00459296148425368,9.63852502645877e-05,0.0271829167447838,0.0124505977063404,0.000574474667578609,0.0137305305152404,0.0508688326671756,0,0
"M_Rom_Z","raw",0.103153120724281,0.0232490298920228,-0.0148943621953652,0,6.3727261304658e-06,-0.00905862509141264,0.0208902368077928,-0.0491889445957142,0.0616533145453216,0.021236704623243,0.00497748384399904,0.00459898764693634,5.37567542369111e-07,-0.0778081184451199,0.0107207894500091,0.00306114003923164,-0.0721557569396342,-0.0388270682669841,-0.0867080979606623,0.0189161724900196,-0.0189544413687259,0.0702382036437351,0.0046228840791516,0,0
"X_Rom_Z","raw",-0.046294213850304,0.00179536703905202,-0.0301487556001239,6.3727261304658e-06,0,0.014015112065224,-0.0427251618271344,-0.0243423569390349,-0.0324499427297972,-0.0344083390413765,0.0516355201316885,0.014106421773266,0.0221063552643932,-7.48242267673005e-07,0.0277824814096947,0.0877454833118033,0.0100726812841367,-0.0159644814116238,0.021115521105901,-0.0270599233842792,-0.0557635016024235,-0.0477992153758473,0.0223467308198119,0,0
"F_Rom_Z","raw",0.0176097124858796,-0.0363599032889717,-0.0733560994838548,-0.00905862509141264,0.014015112065224,0,-0.014783087340252,-0.0108135441469676,0.0566615243927504,-0.0297175418625911,-0.00119555133824301,-0.0131882618350419,0.0301203911019677,-0.0400650038747397,-9.17116195597867e-07,0.031466385298349,0.000805607053558074,0.00776906348620106,0.0238829254718478,-0.0228577582579191,0.0172157866349568,-0.0584103043525992,-0.0352027488096505,0,0
"M_Ero_Z","raw",0.0504234404261415,-0.0824874362615046,-0.0154472022312751,0.0208902368077928,-0.0427251618271344,-0.014783087340252,0,0.022932759159265,-0.0433903076600971,-0.0151524121686443,0.000269195299317987,0.0339259611641395,0.0383043024868939,0.0171194785317129,0.00905919119943957,-1.91554854464537e-07,0.0176175375023635,-0.0758950479807211,-0.0876609386962886,0.100432544465926,-0.00213267950995914,0.00848438292322017,0.0502080582326425,0,0
"X_Ero_Z","raw",-0.022012413367121,-0.107851826104942,0.00260573774385944,-0.0491889445957142,-0.0243423569390349,-0.0108135441469676,0.022932759159265,0,-0.000729022923397271,-0.00927206330589922,-0.00843422062564741,-0.0622912222602276,-0.0821599388065163,-0.0349025957052464,-0.0500725929850175,0.0931175817037226,5.08323524106569e-07,0.0175902842031706,-0.0215264197982462,-0.0360440070448551,0.0136595661616705,-0.00467536693407576,0.0164200835771766,0,0
"F_Ero_Z","raw",0.00707644471791218,-0.0776400870995551,0.111299176487024,0.0616533145453216,-0.0324499427297973,0.0566615243927504,-0.0433903076600971,-0.000729022923397271,0,0.0266207577303815,-0.127468849769167,0.00303182529286336,0.0470215736101654,0.0499769335864657,0.0966037269103164,-0.0468546435810455,-0.0201218446117797,4.90512150147504e-07,0.0659724264856368,-0.0587628314275686,-0.0396032922013975,0.00248745721299847,-0.0731905856125484,0,0
"M_Atr","raw",-3.79397809835424e-08,-0.0232446661711418,-0.0240779387312823,0.021236704623243,-0.0344083390413765,-0.0297175418625911,-0.0151524121686443,-0.00927206330589922,0.0266207577303815,0,-0.0158512559691401,-0.00691498234540233,0.104099100217141,-0.0416977026383827,0.0186047539244066,0.049881668096433,-0.0225728185174626,0.00660081980057434,0.0418040796039195,-0.0776876906999736,-0.0418437300421878,0.0301795722046924,0.0401727146390584,0,0
