"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Year",1,1096,1,0.816496580927726,1,1,1.4826,0,2,2,0,-1.50136861313869,0.0246631811833495
"Monday",2,1096,0.143248175182482,0.350485685839525,0,0.0546697038724374,0,0,1,1,2.03389944712844,2.13870082710684,0.0105868073105818
"Tuesday",3,1096,0.143248175182482,0.350485685839525,0,0.0546697038724374,0,0,1,1,2.03389944712844,2.13870082710684,0.0105868073105818
"Wednesday",4,1096,0.143248175182482,0.350485685839525,0,0.0546697038724374,0,0,1,1,2.03389944712844,2.13870082710684,0.0105868073105818
"Thursday",5,1096,0.143248175182482,0.350485685839525,0,0.0546697038724374,0,0,1,1,2.03389944712844,2.13870082710684,0.0105868073105818
"Friday",6,1096,0.142335766423358,0.34955368861146,0,0.0535307517084282,0,0,1,1,2.04453798795008,2.18212907456178,0.010558655304762
"Saturday",7,1096,0.142335766423358,0.34955368861146,0,0.0535307517084282,0,0,1,1,2.04453798795008,2.18212907456178,0.010558655304762
"Sunday",8,1096,0.142335766423358,0.34955368861146,0,0.0535307517084282,0,0,1,1,2.04453798795008,2.18212907456178,0.010558655304762
"Weekday",9,1096,3.99452554744526,2.00044907133822,4,3.99316628701595,2.9652,1,7,6,0.00409929026467437,-1.2523685294809,0.0604257740288628
"Date",10,1096,548.5,316.532252174509,548.5,548.5,406.2324,1,1096,1095,0,-1.20328516738408,9.56120633950898
"M_Atr",11,1096,0.545620437956204,0.498141732322691,1,0.556947608200456,0,0,1,1,-0.182995362610947,-1.96830610027976,0.0150469213052952
"X_Atr",12,1096,0.237226277372263,0.425576340755865,0,0.171981776765376,0,0,1,1,1.23378083055678,-0.478218696368297,0.0128550034924615
"F_Atr",13,1096,0.548357664233577,0.497883230515828,1,0.560364464692483,0,0,1,1,-0.19407579655617,-1.9641241725805,0.0150391129726607
"M_Rom",14,1096,0.451642335766423,0.497883230515828,0,0.439635535307517,0,0,1,1,0.194075796556169,-1.9641241725805,0.0150391129726607
"X_Rom",15,1096,0.177919708029197,0.382619733173785,0,0.0979498861047836,0,0,1,1,1.68201687049482,0.829940494315428,0.011557451707719
"F_Rom",16,1096,0.29470802919708,0.456119533489249,0,0.24373576309795,0,0,1,1,0.89934609483422,-1.19226193522965,0.0137775943690154
"M_Ero",17,1096,0.437956204379562,0.496362128353638,0,0.42255125284738,0,0,1,1,0.249765978413652,-1.93938397023916,0.0149931664015411
"X_Ero",18,1096,0.335766423357664,0.472473290496204,0,0.29498861047836,0,0,1,1,0.694573563369646,-1.51895097253035,0.0142715776648582
"F_Ero",19,1096,0.523722627737226,0.499664921218861,1,0.529612756264237,0,0,1,1,-0.0948675081935883,-1.99281592188193,0.0150929309085198
"M_Rel",20,1096,0.499087591240876,0.500227425529903,0,0.498861047835991,0,0,1,1,0.0036446473058319,-2.00181068944351,0.0151099219726145
"X_Rel",21,1096,0.114051094890511,0.318018426763855,0,0.0182232346241458,0,0,1,1,2.42499634924752,3.88415372645524,0.00960609788470747
"F_Rel",22,1096,0.0766423357664234,0.266144541007944,0,0,0,0,1,1,3.17850884628787,8.11032091047794,0.00803918986210591
"M_Int",23,1096,0.0328467153284672,0.178316629392685,0,0,0,0,1,1,5.23481238415435,25.4264625211232,0.00538625077121451
"X_Int",24,1096,0.00273722627737226,0.0522707066847414,0,0,0,0,1,1,19.0090816949801,359.673358505863,0.00157889443711168
"F_Int",25,1096,0.00364963503649635,0.0603293961215953,0,0,0,0,1,1,16.439663660595,268.507532394646,0.00182231605371618
"M_Act",26,1096,0,0,0,0,0,0,0,0,NA,NA,0
"X_Act",27,1096,0,0,0,0,0,0,0,0,NA,NA,0
"F_Act",28,1096,0,0,0,0,0,0,0,0,NA,NA,0
"M",29,1096,1.43521897810219,0.961068919477961,1,1.41913439635535,1.4826,0,3,3,-0.028669932855588,-0.977848149884126,0.0290301483734798
"X",30,1096,0.750912408759124,0.757910542540664,1,0.669703872437358,1.4826,0,3,3,0.662179390790355,-0.297245324420198,0.0228935251758338
"F",31,1096,1.36678832116788,0.914895055932826,1,1.33371298405467,1.4826,0,3,3,0.0207035202608597,-0.870997871840513,0.0276354158183784
"Inactive",32,1096,0.246350364963504,0.431081682350705,0,0.183371298405467,0,0,1,1,1.17573171518605,-0.618216503348709,0.0130212984169001
"Education",33,1096,0.0711678832116788,0.25722244004292,0,0,0,0,1,1,3.33128669907089,9.10578176315564,0.00776968794651125
"Gym",34,1096,0.25,0.433210379465581,0,0.187927107061503,0,0,1,1,1.15312056058465,-0.670922631733178,0.0130855980647553
"Work",35,1096,0.380474452554745,0.48572513534847,0,0.350797266514806,0,0,1,1,0.491703980701577,-1.75983038330887,0.01467186427749
"Social",36,1096,0.0921532846715328,0.289374255225607,0,0,0,0,1,1,2.81624633190219,5.93666256158335,0.00874086904113772
"Other",37,1096,0.0346715328467153,0.183030006651914,0,0,0,0,1,1,5.08008392599948,23.8289969774713,0.00552862353803954
"M_Atr_B",38,1096,0.545620437956204,0.498141732322691,1,0.556947608200456,0,0,1,1,-0.182995362610947,-1.96830610027976,0.0150469213052952
"X_Atr_B",39,1096,0.237226277372263,0.425576340755865,0,0.171981776765376,0,0,1,1,1.23378083055678,-0.478218696368297,0.0128550034924615
"F_Atr_B",40,1096,0.547445255474453,0.497971085987683,1,0.559225512528474,0,0,1,1,-0.190380394933015,-1.96554619007578,0.015041766744239
"M_Rom_B",41,1096,0.450729927007299,0.497793685654997,0,0.438496583143508,0,0,1,1,0.197773173766835,-1.96267403601029,0.015036408171222
"X_Rom_B",42,1096,0.177007299270073,0.381849122636268,0,0.0968109339407745,0,0,1,1,1.69018588877595,0.857513237916336,0.0115341745651657
"F_Rom_B",43,1096,0.29470802919708,0.456119533489249,0,0.24373576309795,0,0,1,1,0.89934609483422,-1.19226193522965,0.0137775943690154
"M_Ero_B",44,1096,0.437956204379562,0.496362128353638,0,0.42255125284738,0,0,1,1,0.249765978413652,-1.93938397023916,0.0149931664015411
